ID_compound,SMILES,Common name,Biological Activity,Pathogen,Category,IC50 (µM),Experiment Type,IC50(µg/ml),CC50,Ki,EC50_invitro,EC50 viral,% Inhibition,Tested at [C],Weight,Origin,Formula,Family,Sub family,Nature,Reference,ID_ref,PUBCHEM_CID
1589,COC1=CC=C(C=C1)C(=O)N2CCCC2=O,,Inactive,SARS_CoV,3CLpro_cov,,,,,,,,1.22,6 µM,219.24,,C12H13NO3,,,,AID_1706,,2196
1590,CC(=O)NC1=CC=C(C=C1)N(C(C2=CC(=CC=C2)OC)C(=O)NCC3CCCO3)C(=O)CN4C5=CC=CC=C5N=N4,,Active,SARS_CoV,3CLpro_cov,,,,,,,,30.51,6 µM,556.623,,C30H32N6O5,,,,AID_1706,,3191728
1591,O=C(Oc1cncc(Cl)c1)c1ccc2[nH]ccc2c1,,Active,SARS_CoV,3CLpro_cov,0.31,Enzymo,,,,,,,,272.691,,C14H9ClN2O2,,,,http://10.1016/j.bmcl.2008.08.082,,
1592,C1=CC=C(C=C1)C(COC(=O)N)COC(=O)N,,Inactive,SARS_CoV,3CLpro_cov,,,,,,,,-5.97,6 µM,238.243,,C11H14N2O4,,,,AID_1706,,3331
1593,CCCCCOC1=CC=C(C=C1)C2=CC=C(C=C2)C3=CC=C(C=C3)C(=O)N[C@H]4C[C@H]([C@H](NC(=O)[C@@H]5[C@H]([C@H](CN5C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H]6C[C@H](CN6C(=O)[C@@H](NC4=O)[C@@H](C)O)O)[C@@H]([C@H](C7=CC=C(C=C7)O)O)O)[C@@H](C)O)C)O)O)O,,Active,SARS_CoV-2,,4.64,Viral,,,,,,,,1140.254,,C58H73N7O17,,,,AID_1409579,,169870
1594,CC(=O)NC1=CC=C(C=C1)CC(=O)O,,Inactive,SARS_CoV,3CLpro_cov,,,,,,,,-2.28,6 µM,193.202,,C10H11NO3,,,,AID_1706,,2018
1595,C1CN(CCN1C2=CC=CC=C2)C(=S)NC3=CC(=CC=C3)S(=O)(=O)C(F)F,,Active,SARS_CoV,3CLpro_cov,,,,,,,,13.14,6 µM,411.499,,C18H19F2N3O2S2,,,,AID_1706,,2147111
1596,C1=CC=C(C=C1)C(C2=CC=CC=C2)C(=O)NC(=S)NC3=CC=CC(=C3)C(=O)O,,Active,SARS_CoV,3CLpro_cov,,,,,,,,13.76,6 µM,390.464,,C22H18N2O3S,,,,AID_1706,,1327906
1597,CCOC1=CC=CC=C1C2=C3C=C(C(=O)C=C3OC4=CC(=C(C=C42)O)O)O,,Active,SARS_CoV,PLpro_cov,,,,,,,,,,364.353,,C21H16O6,,,,AID_652038,,2931388
1598,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)OCC(=O)O,,Inactive,SARS_CoV,3CLpro_cov,,,,,,,,4.59,6 µM,415.829,,C21H18ClNO6,,,,AID_1706,,1981
1599,CCN(C1=CC=CC=C1C)C(=O)/C=C/C,,Inactive,SARS_CoV,3CLpro_cov,,,,,,,,-0.17,6 µM,203.285,,C13H17NO,,,,AID_1706,,688020
1600,CC1CCN(CC1)C2=C3C(=C(SC3=NC(=N2)C)C(=O)NC4=CC5=C(C=C4)OCCO5)C,,Active,SARS_CoV,3CLpro_cov,,,,,,,,14.24,6 µM,438.553,,C23H26N4O3S,,,,AID_1706,,4137407
1601,CC1(C2CC=C(C1C2)/C=N/NC(=S)NC)C,,Active,SARS_CoV,PLpro_cov,,,,,,,,,,237.372,,C12H19N3S,,,,AID_652038,,9654767
1602,C[C@]12[C@@H]3[C@H]([C@H](N1C(=O)N(C2=O)C4=CC(=CC=C4)F)C5=CC=C(C=C5)F)C(=O)N(C3=O)C6CCCCC6,,Active,SARS_CoV,3CLpro_cov,,,,,,,,13.51,6 µM,493.51,,C27H25F2N3O4,,,,AID_1706,,24790050
1603,CC1=CC2=C(C=C1)NC(=O)C(=C2)C3C4=C(C5=C(C=CC=N5)C=C4)OC(=C3C#N)N,,Active,SARS_CoV,PLpro_cov,,,,,,,,,,380.407,,C23H16N4O2,,,,AID_652038,,3168140
1604,CN1C2C(N=C1/C=C/C3=CC(=CC=C3)Cl)N(C(=O)N(C2=O)C)C,,Active,SARS_CoV-2,,,,,,,,1.6,,,332.791,,C16H17ClN4O2,,,,AID_1409578,,44579921
1605,CCOC(=O)/C=C/[C@H](Cc1ccccc1)NC(=O)[C@H](Cc2ccccc2)NC(=O)/C=C/c3cc(OC)cc(OC)c3,,Active,SARS_CoV,3CLpro_cov,10,Enzymo,,,9.04,0.11,,,,556.659,,C33H36N2O6,,,,10.1021/acs.jmedchem.5b01461,9,
1606,O=C(N[C@H]2c1ccccc1C[C@H]2O)C(Cc3ccccc3)C[C@H](O)CC(Cc4ccccc4)C(=O)N[C@@H]6c5ccccc5C[C@@H]6O,HIV-1 protease inhibitor,Active,SARS_CoV,3CLpro_cov,,,,,,,,,,618.774,,C39H42N2O5,,,,10.1021/acs.jmedchem.5b01461,3,
1607,O=C(Cc1cncc(Br)c1)c3ccc(c2ccc(Cl)cc2)o3,,Active,SARS_CoV,3CLpro_cov,13,Enzymo,,,,,,,,376.637,,C17H11BrClNO2,,,,10.1021/acs.jmedchem.5b01461,129,
1608,CC1=CC(=CC=C1)NC(=S)NNC(=O)COC2=C(C=C(C=C2)Cl)Cl,,Active,SARS_CoV,PLpro_cov,,,,,,,,,,384.288,,C16H15Cl2N3O2S,,,,AID_652038,,4343540
1609,CCN(CC)CC1=C(C=CC(=C1)NC2=C3C=CC(=CC3=NC=C2)Cl)O,,Active,SARS_CoV-2,,5.15,Viral,,,,,,,,355.869,,C20H22ClN3O,,,,AID_1409579,,2165
1610,CCOC(=O)/C=C/[C@H](Cc1ccccc1)NC(=O)[C@H](Cc2ccccc2)NC(=O)/C=C/c3cccc([N+](=O)O)c3,,Active,SARS_CoV,3CLpro_cov,5,Enzymo,,,2.48,9.45,,,,542.612,,C31H32N3O6+,,,,10.1021/acs.jmedchem.5b01461,7,
1611,C1=CC(=CC(=C1)S(=O)(=O)NC2=CC=C(C=C2)Cl)C(=O)N/N=C/C3=CC=NC=C3,,Active,SARS_CoV,3CLpro_cov,,,,,,,,61.99,6 µM,414.874,,C19H15ClN4O3S,,,,AID_1706,,6904494
1612,CC(=O)C1=C(NC(=C1)C2=CC=CC=C2)N3CCCC3,,Active,SARS_CoV,3CLpro_cov,,,,,,,,57.14,6 µM,254.333,,C16H18N2O,,,,AID_1706,,880528
1613,COC(=O)C1=C(C=CC(=C1)NC(=O)CC2=CC=CC=C2[N+](=O)[O-])Cl,,Active,SARS_CoV,3CLpro_cov,,,,,,,,13.9,6 µM,348.742,,C16H13ClN2O5,,,,AID_1706,,970829
1614,C1CCN(CC1)CC2=CC=C(C=C2)C3=CC4=CC=CC=C4C5=NCCN35,,Active,SARS_CoV-2,,,,,,,,0.75,,,343.474,,C23H25N3,,,,AID_1409578,,9801987
1615,O=C([C@H](O)[C@H](CC1CCC1)NC(=O)[C@@H]1[C@@H]2[C@@H](C2(C)C)CN1C(=O)[C@H](C(C)(C)C)NC(=O)NC(C)(C)C)N,,Active,SARS_CoV-2,3CLpro_cov-2,,,,,,,,,,521.703,,C27H47N5O5,,,,6wnp.pdb,,
1616,CC1=C(C(=O)N2CCCCC2=N1)CCN3CCC(CC3)C4=NOC5=C4C=CC(=C5)F,,Inactive,SARS_CoV,3CLpro_cov,,,,,,,,1.27,6 µM,410.493,,C23H27FN4O2,,,,AID_1706,,5073
1617,CCOC(=O)C1=C(C2=C(O1)N=C(C3=C2CCCC3)CC(C)C)N,,Active,SARS_CoV,3CLpro_cov,,,,,,,,13.34,6 µM,316.401,,C18H24N2O3,,,,AID_1706,,1864299
1618,C1=CC=C(C=C1)C2=CC=C(C=C2)/C(=C/C3=CC=C(C=C3)F)/C(=O)O,,Active,SARS_CoV,3CLpro_cov,,,,,,,,13,6 µM,318.347,,C21H15FO2,,,,AID_1706,,2333509
1619,C1=CSC(=C1)C2=CSC(=N2)NC(=O)C3=CC=C(C=C3)Cl,,Active,SARS_CoV,3CLpro_cov,,,,,,,,12.8,6 µM,320.826,,C14H9ClN2OS2,,,,AID_1706,,930290
1620,C1=CC2=C(C=C1OC(F)(F)F)SC(=N2)N,,Inactive,SARS_CoV,3CLpro_cov,,,,,,,,1.27,6 µM,234.202,,C8H5F3N2OS,,,,AID_1706,,5070
1621,C1=CC2=C(C=CN=C2)C(=C1)S(=O)(=O)NCCNC/C=C/C3=CC=C(C=C3)Br,,Inactive,SARS_CoV-2,,,,,,,,,,,446.37,,C20H20BrN3O2S,,,,AID_1409614,,449241
1622,o1nc(cc1C)C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](CCC(=O)OCc1ccccc1)C[C@@H]1CCN[C@@H]1O)CC(C)C)C(C)C)C,010_02J_AVL_PJE.pdb,Active,SARS_CoV-2,3CLpro_cov-2,,,,,,,,,,684.835,,C35H52N6O8,,,,6lu7.pdb,,
1623,CC1=CC(=C(C=C1Br)Br)OCC(=O)N/N=C(\C)/CC(=O)NC2=CC=C(C=C2)NC(=O)C,,Active,SARS_CoV,3CLpro_cov,,,,,,,,15.9,6 µM,554.239,,C21H22Br2N4O4,,,,AID_1706,,9596269
1624,CC1=CC(=CC(=C1OCCO)C)C2=NC3=C(C(=CC(=C3)OC)OC)C(=O)N2,,Inactive,SARS_CoV-2,,1.42889,Viral,,,,,,,,370.405,,C20H22N2O5,,,,AID_1409607,,135564749
1625,CCOC(=O)/C=C/C(CC1CCNC1=O)NC(=O)C(CC(=O)[C@@H](NC(=O)[C@H](CO)NCC(=O)OC(C)(C)C)C(C)C)CC(C)C,,Active,SARS_CoV,3CLpro_cov,10,Enzymo,,,,,,,,638.803,,C32H54N4O9,,,,10.1021/acs.jmedchem.5b01461,15,
1626,CC1=C(SC2=C1C(=N[C@H](C3=NN=C(N32)C)CC(=O)OC(C)(C)C)C4=CC=C(C=C4)Cl)C,,Active,SARS_CoV-2,,0.19275,Viral,,,,,,,,456.999,,C23H25ClN4O2S,,,,AID_1409607,,46907787
1627,O=C(Oc1cncc(Cl)c1)c3ccc2[nH]ccc2c3,,Active,SARS_CoV,3CLpro_cov,0.31,Enzymo,,,,24,,,,272.691,,C14H9ClN2O2,,,,10.1021/acs.jmedchem.5b01461,126,
1628,CC1=CC2=C(S1)NC3=CC=CC=C3N=C2N4CCN(CC4)C,,Inactive,SARS_CoV-2,,18.197,Viral,,,,,,,,312.442,,C17H20N4S,,,,AID_1409607,,135398745
1629,C1=CC(=C(C=C1Cl)Cl)CO/N=C(\CN2C=CN=C2)/C3=C(C=C(C=C3)Cl)Cl.[N+](=O)(O)[O-],,Active,SARS_CoV-2,,20.82,Viral,,,,,,,,492.146,,C18H14Cl4N4O4,,,,AID_1409599,,9556529
1630,N1(CCN(C(=O)c2ccc(C)cc2)CC1)C(=O)C,U0Y.pdb,Active,SARS_CoV-2,3CLpro_cov-2,,,,,,,,,,246.31,,C14H18N2O2,,,,5rgl.pdb,,
1631,C1=CC(=CC=C1NS(=O)(=O)C2=CC=C(C=C2)Br)S(=O)(=O)NC3=NC=CS3,,Active,SARS_CoV,3CLpro_cov,,,,,,,,47.3,6 µM,474.383,,C15H12BrN3O4S3,,,,AID_1706,,1891999
1632,CCC(C)c4ccc(N(C(=O)c1ccco1)C(C(=O)NC2CCCC2)c3cccnc3)cc4,,Active,SARS_CoV,3CLpro_cov,2.2,Enzymo,,,,,,,,445.563,,C27H31N3O3,,,,10.1021/acs.jmedchem.5b01461,145,
1633,C1=CC=C(C=C1)COC2=CC=CC=C2/C=N\NC(=S)N,,Active,SARS_CoV,PLpro_cov,,,,,,,,,,285.372,,C15H15N3OS,,,,AID_652038,,5394508
1634,CC1=CC(=NC2=C1C(=NN2C)NC(=O)CCl)C,,Active,SARS_CoV,PLpro_cov,,,,,,,,,,252.705,,C11H13ClN4O,,,,AID_652038,,1485477
1635,[C@H]1(CCS(=O)(=O)C1)N(C(=O)C)c1ccc(cc1)F,T7P.pdb,Active,SARS_CoV-2,3CLpro_cov-2,,,,,,,,,,271.313,,C12H14FNO3S,,,,5rfn.pdb,,
1636,C1C2C=CC1C3C2C(=O)N(C3=O)/N=C/C4=CC=C(O4)C5=CC=CC=C5[N+](=O)[O-],,Active,SARS_CoV,3CLpro_cov,,,,,,,,12.34,6 µM,377.356,,C20H15N3O5,,,,AID_1706,,5349620
1637,C1CN(CCN1C2=CC=CC=C2)C(=O)C3=CC(=O)NC4=CC=CC=C43,,Active,SARS_CoV,3CLpro_cov,,,,,,,,32.27,6 µM,333.391,,C20H19N3O2,,,,AID_1706,,2083510
1638,CC1=C(C(=CC=C1)C)OCC(=O)NC(CC2=CC=CC=C2)C(CC(CC3=CC=CC=C3)NC(=O)C(C(C)C)N4CCCNC4=O)O,lopinavir,Active,,,,,,,,,,,,628.814,,C37H48N4O5,,,,ResNet-Elsevier,,92727
1639,CC1=C(ON=C1C)NS(=O)(=O)C2=CC=C(C=C2)NC(=O)C3=C(C4=C(O3)C=CC(=C4)Cl)C,,Active,SARS_CoV,3CLpro_cov,,,,,,,,12.31,6 µM,459.911,,C21H18ClN3O5S,,,,AID_1706,,986562
1640,C1=CC=C(C=C1)CCN(CCC2=CC=CC=C2)C(=O)CCl,,Active,SARS_CoV,3CLpro_cov,,,,,,,,16.37,6 µM,301.817,,C18H20ClNO,,,,AID_1706,,2384236
1641,CC1=C(C(=NS1)S(=O)(=O)/C(=N/NC2=CC=CC(=C2)C(F)(F)F)/C#N)C#N,,Active,SARS_CoV,3CLpro_cov,,,,,,,,15.47,6 µM,399.379,,C14H8F3N5O2S2,,,,AID_1706,,5918347
1642,CSc2sc(c1nc(C)cs1)c(C)c2c4ccnc(SCC(=O)Nc3ccc(Cl)cc3)n4,,Active,SARS_CoV,3CLpro_cov,11,Enzymo,,,,,,,,519.142,,C22H19ClN4OS4,,,,10.1021/acs.jmedchem.5b01461,107,
1643,CCC(=C)C(=O)C1=C(C(=C(C=C1)OCC(=O)O)Cl)Cl,,Inactive,SARS_CoV,3CLpro_cov,,,,,,,,1.75,6 µM,303.141,,C13H12Cl2O4,,,,AID_1706,,3278
1644,Cc1cc(C(=O)CCl)c(C)n1-c1cccc([N+](=O)[O-])c1,,Active,SARS_CoV,3CLpro_cov,4.586,Enzymo,,,,,,,,292.722,,C14H13ClN2O3,,,,AID_1890,,
1645,CCCCC[C@@H](/C=C/[C@H]1[C@@H](CC(=O)[C@@H]1CCCCCCC(=O)O)O)O,,Active,SARS_CoV-2,,,,,,,,,,,354.487,,C20H34O5,,,,AID_1409595,,5280723
1646,C1=CC=C(C(=C1)NC2=NC(=CS2)C3=CN=CC=C3)Cl,,Active,SARS_CoV,3CLpro_cov,,,,,,,,13.94,6 µM,287.775,,C14H10ClN3S,,,,AID_1706,,1092464
1647,c1cc2c(cc1CNC(=O)C)OCO2,T2Y.pdb,Active,SARS_CoV-2,3CLpro_cov-2,,,,,,,,,,193.202,,C10H11NO3,,,,5reo.pdb,,
1648,C1=CC=C(C=C1)CN2C(=NN=C2SCC(=O)NNC(=O)C3=CC=CC=C3O)C4=CC=CC=C4O,,Active,SARS_CoV,PLpro_cov,,,,,,,,,,475.53,,C24H21N5O4S,,,,AID_652038,,3144995
1649,n1cc(N)cnc1,T5V.pdb,Active,SARS_CoV-2,3CLpro_cov-2,,,,,,,,,,95.105,,C4H5N3,,,,5rf3.pdb,,
1650,CN1C(=O)N2C=NC(=C2N=N1)C(=O)N,,Inactive,SARS_CoV,3CLpro_cov,,,,,,,,-2.53,6 µM,194.154,,C6H6N6O2,,,,AID_1706,,5394
1651,C1=CC=C(C=C1)CNC(=O)C2=CC=C(C=C2)S(=O)(=O)NC3=CC=CC(=C3)C(F)(F)F,,Active,SARS_CoV,3CLpro_cov,,,,,,,,17.29,6 µM,434.439,,C21H17F3N2O3S,,,,AID_1706,,2083279
1652,Cc1cccc(N2CCN(C(=O)c3cc(=O)[nH]c4ccccc34)CC2)c1C,,Active,SARS_CoV,3CLpro_cov,6.66,Enzymo,,,,,,,,361.445,,C22H23N3O2,,,,AID_1890,,
1653,CCN(CC)CCOC1=CC=C(C=C1)C(=C(C2=CC=CC=C2)Cl)C3=CC=CC=C3,,Active,SARS_CoV-2,,5.36,Viral,,,,,,,,405.969,,C26H28ClNO,,,,AID_1409579,,2800
1654,Nc1nc2nc3nc(N)sc3cc2s1,,Active,SARS_CoV,3CLpro_cov,2.6,Enzymo,,,,,,,,223.286,,C7H5N5S2,,,,https://doi.org/10.1016/j.chembiol.2004.08.011,,
1655,C1=CC(=CC=C1C(=O)C2=C(C=C(C=C2Cl)CN3C(=C(N=N3)C(=O)N)N)Cl)Cl,,Active,SARS_CoV-2,,5.36,Viral,,,,,,,,424.675,,C17H12Cl3N5O2,,,,AID_1409599,,108144
1656,C1=CC=C(C=C1)NC(=S)N/N=C/C2=CC=C(O2)C3=CC(=CC=C3)[N+](=O)[O-],,Active,SARS_CoV,PLpro_cov,,,,,,,,,,366.402,,C18H14N4O3S,,,,AID_652038,,9564164
1657,O=C(Cc1cncc(Br)c1)c1ccc(-c2ccc(Cl)cc2)o1,,Active,SARS_CoV,3CLpro_cov,13,Enzymo,,,,,,,,376.637,,C17H11BrClNO2,,,,http://dx.doi.org/10.1021/jm301580n,,
1658,C1=CC=NC(=C1)NS(=O)(=O)C2=CC=C(C=C2)N,,Inactive,SARS_CoV,3CLpro_cov,,,,,,,,0.5,6 µM,249.295,,C11H11N3O2S,,,,AID_1706,,5336
1659,CNC(=O)OC1=CN2C=C(N=C2C=C1)C3=CC(=CC=C3)OC(=O)NC,,Active,SARS_CoV,PLpro_cov,,,,,,,,,,340.339,,C17H16N4O4,,,,AID_652038,,852394
1660,CC1=C(C(=NO1)C2=CC=CC=C2)C(=O)NC(=S)NNC(=O)C3=C(C=C(C=C3)O)O,,Active,SARS_CoV,PLpro_cov,,,,,,,,,,412.427,,C19H16N4O5S,,,,AID_652038,,1883073
1661,CC(=CCC1=C2C(=C3C(=C1O)C(=O)C(=CO3)C4=CC=C(C=C4)O)C=CC(O2)(C)C)C,,Active,SARS_CoV-2,,3.87,Viral,,,,,,,,404.462,,C25H24O5,,,,AID_1409579,,154257
1662,C1=CC(=C(C=C1Br)/C=N/NC(=O)C2=NON=C2N)O.Cl,,Active,SARS_CoV,PLpro_cov,,,,,,,,,,362.571,,C10H9BrClN5O3,,,,AID_652038,,135460420
1663,C1CN(CCC1C2=NC3=C(C(=O)N2)N=NN3CC4=CC=C(C=C4)OC(F)(F)F)S(=O)(=O)C5=CC=CC=C5F,,Active,SARS_CoV,3CLpro_cov,,,,,,,,13.13,6 µM,552.51,,C23H20F4N6O4S,,,,AID_1706,,135693201
1664,C1=CC=C(C=C1)C2=CC(=O)C3=C(C(=C(C=C3O2)OC4C(C(C(C(O4)C(=O)O)O)O)O)O)O,baicalin,Active,,,,,,,,,,,,446.364,,C21H18O11,,,,ResNet-Elsevier,,64982
1665,C1=CN(C(=O)N=C1N)[C@H]2C([C@@H]([C@H](O2)CO)O)(F)F.Cl,,Active,SARS_CoV-2,,,,,,,,,,,299.661,,C9H12ClF2N3O4,,,,AID_1409585,,60749
1666,CC1=CC(=NC(=N1)N/N=C/C(=C/C2=CC=C(C=C2)C(C)C)/C)C,,Active,SARS_CoV,PLpro_cov,,,,,,,,,,308.429,,C19H24N4,,,,AID_652038,,6884713
1667,C[C@H]1C/C(=C/C=C/[C@@H]([C@H](OC(=O)/C(=C/C(=C/[C@H]([C@H]1O)C)/C)/OC)[C@@H](C)[C@H]([C@H](C)[C@]2(C[C@H]([C@@H]([C@H](O2)C(C)C)C)O)O)O)OC)/C,,Active,SARS_CoV-2,,,,,,,,,,,622.84,,C35H58O9,,,,AID_1409614,,6436223
1668,CC1=CC=C(O1)C(C(=O)NCCOC)N(C2=CC=CC=C2)C(=O)CN3C4=CC=CC=C4N=N3,,Active,SARS_CoV,3CLpro_cov,,,,,,,,13.8,6 µM,447.495,,C24H25N5O4,,,,AID_1706,,3211933
1669,CC(C)OP(=O)(C1(C=C(C(=O)C(=C1)Cl)Cl)NS(=O)(=O)C2=CC=C(C=C2)Cl)OC(C)C,,Active,SARS_CoV,3CLpro_cov,,,,,,,,17,6 µM,516.767,,C18H21Cl3NO6PS,,,,AID_1706,,1949127
1670,CC1CC2=CC=CC=C2N1C(=O)C3CCCN(C3)S(=O)(=O)C4=CC=CC5=NSN=C54,,Active,SARS_CoV,3CLpro_cov,,,,,,,,12.41,6 µM,442.566,,C21H22N4O3S2,,,,AID_1706,,3240186
1671,CC1=CC(=CC=C1)CN2CCN(CC2)C(=O)CCl,,Active,SARS_CoV,3CLpro_cov,,,,,,,,15.99,6 µM,266.772,,C14H19ClN2O,,,,AID_1706,,2454965
1672,O=C(N[C@@H](Cc1ccccc1)C(=O)Nc2ccc(N(=O)=O)cc2)c3ccccc3,,Inactive,SARS_CoV,3CLpro_cov,11,Enzymo,,,,,,,,389.411,,C22H19N3O4,,,,10.1021/acs.jmedchem.5b01461,32,
1673,CC1=CC(=CN=C1C2=CC(=NC=C2)C)CC(=O)NC3=NC=C(C=C3)C4=NC=CN=C4,,Active,SARS_CoV-2,,3.27,Viral,,,,,,,,396.454,,C23H20N6O,,,,AID_1409599,,46926973
1674,CC1=C2C(=O)NC3(N2C(=O)C(=C1)NC4=NC=NC(=C4)N)CCCCC3,,Active,SARS_CoV-2,,0.34674,Viral,,,,,,,,340.387,,C17H20N6O2,,,,AID_1409607,,118598754
1675,CC(=O)NC1=NN=C(S1)S(=O)(=O)N,,Inactive,SARS_CoV,3CLpro_cov,,,,,,,,-1.54,6 µM,222.251,,C4H6N4O3S2,,,,AID_1706,,1986
1676,C1=CC2=C(C=C1C(=O)NCCO)NC(=C(C2=O)O)C3=CC(=C(C(=C3)Cl)N)Cl,,Active,SARS_CoV,PLpro_cov,,,,,,,,,,408.241,,C18H15Cl2N3O4,,,,AID_652038,,24819115
1677,C1CC(OC1)N2C=C(C(=O)NC2=O)F,,Inactive,SARS_CoV,3CLpro_cov,,,,,,,,2.41,6 µM,200.169,,C8H9FN2O3,,,,AID_1706,,5386
1678,CC(=O)N=C1N(N=C(S1)S(=O)(=O)N)C,,Inactive,SARS_CoV,3CLpro_cov,,,,,,,,-0.17,6 µM,236.278,,C5H8N4O3S2,,,,AID_1706,,4100
1679,CCNC(=S)N/N=C(\C)/C1=CC=C(S1)Cl,,Active,SARS_CoV,PLpro_cov,,,,,,,,,,261.803,,C9H12ClN3S2,,,,AID_652038,,9659012
1680,C1=CC(=CN=C1)NC(=O)CC2=CC(=C(C=C2)Cl)Cl,,Active,SARS_CoV,3CLpro_cov,,,,,,,,22.7,6 µM,281.142,,C13H10Cl2N2O,,,,AID_1706,,2530053
1681,C1=CC=C2C(=C1)N=NN2CC(=O)C3=CC=C(C=C3)Br,,Active,SARS_CoV,3CLpro_cov,,,,,,,,57.21,6 µM,316.158,,C14H10BrN3O,,,,AID_1706,,761840
1682,CN[C@H]1CC[C@H](C2=CC=CC=C12)C3=CC(=C(C=C3)Cl)Cl,,Inactive,SARS_CoV,3CLpro_cov,,,,,,,,3.28,6 µM,306.236,,C17H17Cl2N,,,,AID_1706,,68617
1683,CCOC(=O)C1=C2CN(C(=O)C3=C(N2C=N1)C=CC(=C3)F)C,,Inactive,SARS_CoV,3CLpro_cov,,,,,,,,-0.98,6 µM,303.293,,C15H14FN3O3,,,,AID_1706,,3373
1684,CCOC(=O)C1=C2CN(C(=O)C3=C(N2C=N1)C=CC(=C3)F)C,,Inactive,SARS_CoV,3CLpro_cov,,,,,,,,-2.82,6 µM,303.293,,C15H14FN3O3,,,,AID_1706,,3373
1685,c1ccc2CN(C[C@H](c2c1)c1ccccc1)C(=O)C,T8A.pdb,Active,SARS_CoV-2,3CLpro_cov-2,,,,,,,,,,251.329,,C17H17NO,,,,5rft.pdb,,
1686,CCC(C1=CC=CC=C1)C(=O)NC2=CC=CC(=C2)C(F)(F)F,,Active,SARS_CoV,3CLpro_cov,,,,,,,,12.86,6 µM,307.315,,C17H16F3NO,,,,AID_1706,,2890716
1687,C1=CC=C(C(=C1)C(=O)NC2=CC(=C(C=C2)OCC(C(F)F)(F)F)C(F)(F)F)O,,Active,SARS_CoV,3CLpro_cov,,,,,,,,13.17,6 µM,411.273,,C17H12F7NO3,,,,AID_1706,,2294766
1688,CC1=CC(=CC=C1)N2C(C(C(=C2N)C#N)(C#N)C#N)C3=CC=CC=C3,,Active,SARS_CoV,3CLpro_cov,,,,,,,,14.22,6 µM,325.375,,C20H15N5,,,,AID_1706,,660907
1689,Cn2sc(=O)n(Cc1ccccc1)c2=O,TDZD-8,Active,SARS_CoV-2,3CLpro_cov-2,2.15,Enzymo,,,,,,,,222.269,,C10H10N2O2S,,,,https://doi.org/10.1038/s41586-020-2223-y,,
1690,CC1=C(C(=NO1)C)S(=O)(=O)N(CC(=O)NCC2=CC(=CC=C2)OC)C3=CC=C(C=C3)C(C)C,,Active,SARS_CoV,3CLpro_cov,,,,,,,,14.97,6 µM,471.579,,C24H29N3O5S,,,,AID_1706,,16007641
1691,C[C@H](CS)C(=O)N1CCC[C@H]1C(=O)O,,Inactive,SARS_CoV-2,,0.38905,Viral,,,,,,,,217.29,,C9H15NO3S,,,,AID_1409607,,44093
1692,O=C(O)c4ccc(/C=C/2C(=O)N(c1ccc(F)cc1)NC2c3ccccc3)cc4,,Active,SARS_CoV,3CLpro_cov,6.8,Enzymo,,,,,,,,388.398,,C23H17FN2O3,,,,10.1021/acs.jmedchem.5b01461,136,
1693,Cc1ccc(C(=O)N/C(=C\c2ccc(-c3cccc([N+](=O)[O-])c3)o2)C(=O)NCCCC(C)C)cc1,,Active,SARS_CoV,3CLpro_cov,9.1,Enzymo,,,,,,,,475.545,,C27H29N3O5,,,,http://dx.doi.org/10.1021/jm301580n,,
1694,c1c(ccc2CCCN(C)c12)S(=O)(=O)N,RZJ.pdb,Active,SARS_CoV-2,3CLpro_cov-2,,,,,,,,,,226.301,,C10H14N2O2S,,,,5r81.pdb,,
1695,C1CN(CCO1)Cc1cccc(c1)Cl,T1S.pdb,Active,SARS_CoV-2,3CLpro_cov-2,,,,,,,,,,211.692,,C11H14ClNO,,,,5rei.pdb,,
1696,N(NC(=O)C)C(=O)c1cc2CCCCc2s1,U1D.pdb,Active,SARS_CoV-2,3CLpro_cov-2,,,,,,,,,,238.312,,C11H14N2O2S,,,,5rgm.pdb,,
1697,C/C(N)=N\c2nc1nc(N)sc1cc2S,,Active,SARS_CoV,3CLpro_cov,2.6,Enzymo,,,,,,,,239.329,,C8H9N5S2,,,,10.1016/j.chembiol .2004.08.011,MAC-22272,
1698,COC1=C2C(=CC3=C1OC=C3)C=CC(=O)O2,,Inactive,SARS_CoV,3CLpro_cov,,,,,,,,-4.3,6 µM,216.192,,C12H8O4,,,,AID_1706,,4114
1699,CC1=C(C=C(C=C1)NC(=O)NC2=CN=CC=C2)Cl,,Active,SARS_CoV,3CLpro_cov,,,,,,,,21.3,6 µM,261.712,,C13H12ClN3O,,,,AID_1706,,2815694
1700,CC(=O)c1ccccc1S(=O)(=O)c1ccccc1C(=O)O,,Active,SARS_CoV,3CLpro_cov,16,Enzymo,,,,,,,,304.323,,C15H12O5S,,,,AID_269112,,
1701,C1=CN=C(C=N1)C(=O)N,,Inactive,SARS_CoV,3CLpro_cov,,,,,,,,4.9,6 µM,123.115,,C5H5N3O,,,,AID_1706,,1046
1702,CC1=CC(=O)OC2=C1C=CC(=C2)OC(=O)C3=CC=CO3,,Active,SARS_CoV,3CLpro_cov,,,,,,,,28.91,6 µM,270.24,,C15H10O5,,,,AID_1706,,728528
