,ID_compound,SMILES,Common Name,Biological Activity,Pathogen,Category,IC50 (µM),IC50(µg/ml),% Inhibition,Tested at [C],Molecular Weight,Formula,Reference,PUBCHEM_CID
1240,1241,"COC1=CC2CCC(C)(CC3=C(CC(C)(C)O)C(=O)[C@]4(C)CCC[C@]4(C)C3)OC2C(C)=C1 
",(3R)- and (3S)-tetraprenyltoluquinol,Active,Leishmania,Intracellular,25,,,,442.64,C28H42O4,10.3390/md15110323,
1241,1242,"COC1=CC2C(OC(C)(CC3=C(CC(C)(C)O)C(=O)[C@]4(C)CCC[C@]4(C)C3)CC2=O)C(C)=C1 
",(3R)- and (3S)-tetraprenyltoluquinone ,Active,Leishmania,Extracellular,94.4,,,,456.62,C28H40O5,10.3390/md15110323,
1242,1243,[H][C@@]2(C)CC[C@@]1(C)[C@]([H])(CCC(=O)O)/C(=C(C)\C)CC[C@]1([H])[C@@]2(C)Cc3cc(OC)cc(C)c3O,Atomaric acid,Active,Leishmania,Extracellular,,,86,50 µM,442.64,C28H42O4,10.3390/md15110323,
1243,1244,[H][C@@]2(C)CC[C@@]1(C)[C@]([H])(CCC(=O)O)/C(=C(C)\C)CC[C@]1([H])[C@@]2(C)Cc3cc(OC)cc(C)c3O,Atomaric acid,Active,Leishmania,Intracellular,20.2,,,,442.64,C28H42O4,10.3390/md15110323,
1244,1245,[H][C@@]12C=CC(C)[C@@]1([H])[C@@H](O)CC[C@@H](C(C)CCC=C(C)C)C2=C ,pachydictyol A,Active,Leishmania,Extracellular,,6.23,,,288.48,C20H32O,10.3390/md15110323,
1245,1246,"[H][C@@]12C=CC(C)[C@@]1([H])[C@@H](O)CC[C@@H](C(C)CCC=C(C)C)C2C 
",isopachydictyol A,Active,Leishmania,Extracellular,,6.23,,,290.49,C20H34O,10.3390/md15110323,
1246,1247,C[C@@H]2/C=C/[C@@]1(C)CC[C@@H](C(C)(C)O)C1[C@@H](O)C[C@@](C)(O)/C=C/C2,Dolabelladienetriol,Active,Leishmania,Extracellular,,,95.5,100 µM,322.49,C20H34O3,10.3390/md15110323,
1247,1248,C[C@@H]2/C=C/[C@@]1(C)CC[C@@H](C(C)(C)O)C1[C@@H](O)C[C@@](C)(O)/C=C/C2,Dolabelladienetriol,Active,Leishmania,Intracellular,43.9,,,,322.49,C20H34O3,10.3390/md15110323,
1248,1249,[H][C@@]23C/C=C\1CC(O)CC[C@]1(C)[C@@]2([H])CC[C@]4(C)[C@@H]([C@H](C)CC/C(=C\C)C(C)C)CC[C@@]34[H],Fucosterol,Active,Leishmania,Extracellular,55,,,,412.7,C29H48O,10.3390/md15110323,
1249,1250,[H][C@@]23C/C=C\1CC(O)CC[C@]1(C)[C@@]2([H])CC[C@]4(C)[C@@H]([C@H](C)CC/C(=C\C)C(C)C)CC[C@@]34[H],Fucosterol,Active,Leishmania,Extracellular,45,,,,412.7,C29H48O,10.3390/md15110323,
1250,1251,[H][C@@]23C/C=C\1CC(O)CC[C@]1(C)[C@@]2([H])CC[C@]4(C)[C@@H]([C@H](C)CC/C(=C\C)C(C)C)CC[C@@]34[H],Fucosterol,Active,Leishmania,Intracellular,7.89,,,,412.7,C29H48O,10.3390/md15110323,
1251,1252,[H][C@@]23C/C=C\1CC(O)CC[C@]1(C)[C@@]2([H])CC[C@]4(C)[C@@H]([C@H](C)CC/C(=C\C)C(C)C)CC[C@@]34[H],Fucosterol,Active,Leishmania,Intracellular,10.3,,,,412.7,C29H48O,10.3390/md15110323,
1252,1253,"CC1CC[C@]2(CC1Cl)C(=C)C[C@@H](O)[C@@H](Br)C2(C)C 
",Elatol,Active,Leishmania,Extracellular,,9.7,,,335.71,C15H24BrClO,10.3390/md15110323,
1253,1254,"CC1CC[C@]2(CC1Cl)C(=C)C[C@@H](O)[C@@H](Br)C2(C)C 
",Elatol,Active,Leishmania,Intracellular,,4.5,,,335.71,C15H24BrClO,10.3390/md15110323,
1254,1255,"CC1(C)[C@@H](Br)[C@@H](O)CC(=C)[C@@]11CC[C@](C)(Br)C(Cl)C1 
",Obtusol,Active,Leishmania,Extracellular,,6.2,,,414.61,C15H23Br2ClO,10.3390/md15110323,
1255,1256,"CC1(C)[C@@H](Br)[C@@H](O)CC(=C)[C@@]11CC[C@](C)(Br)C(Cl)C1 
",Obtusol,Active,Leishmania,Intracellular,,3.9,,,414.61,C15H23Br2ClO,10.3390/md15110323,
1256,1257,[H][C@@]23CC[C@@]1(C)C[C@H](C)[C@](C)(O)[C@]12CC[C@H]3C,silphiperfol-5-en-3-ol,Active,Leishmania,Extracellular,,43.8,,,222.37,C15H26O,10.3390/md15110323,
1257,1258,[H][C@@]23CC[C@@]1(C)C[C@H](C)[C@](C)(O)[C@]12CC[C@H]3C,silphiperfol-5-en-3-ol,Active,Leishmania,Intracellular,,48.7,,,222.37,C15H26O,10.3390/md15110323,
1258,1259,CO[C@@H]2OC(C)[C@H](O)[C@H](O[C@@H]1OC(C)C(C)[C@H](O[S+](=O)(=O)=O)[C@@H]1O[S+](=O)(=O)=O)C2O[S+](=O)(=O)=O,Fucoidan,Active,Leishmania,Intracellular,,,93,50.6 µg/ml,559.52,C14H23O17S3+3,10.3390/md15110323,
1259,1260,"CC1C(C(OC1C2=CC(=C(C=C2)OC)OC)C3=CC(=C(C=C3)OC)OC)C
",Veraguensin,Active,Leishmania,Intracellular,,,,,372.46,C22H28O5,10.3390/molecules21060802,
1260,1261,"CC1C(C(OC1C2=CC(=C(C(=C2)OC)OC)OC)C3=CC(=C(C(=C3)OC)OC)OC)C
",Grandisin,Active,Leishmania,Intracellular,,,,,432.51,C24H32O7,10.3390/molecules21060802,
1261,1262,"CC1C(C(OC1C2=CC3=C(C=C2)OCO3)C4=CC(=C(C=C4)OC)OC)C
",Machilin G,Active,Leishmania,Intracellular,,,,,356.42,C21H24O5,10.3390/molecules21060802,
1262,1263,"COc1ccc(cc1)-c1cn(nn1)-c1ccc(OC)cc1
",,Active,Leishmania,Intracellular,13.1,,,,281.32,C16H15N3O2,10.3390/molecules21060802,
1263,1264,"COc1ccc(cc1OC)-c1cn(nn1)-c1ccc(OC)c(OC)c1
",,Active,Leishmania,Intracellular,21.3,,,,341.37,C18H19N3O4,10.3390/molecules21060802,
1264,1265,"COc1ccc(-c2cn(nn2)-c2ccc(OC)c(OC)c2OC)c(OC)c1OC
",,Active,Leishmania,Intracellular,9.4,,,,401.42,C20H23N3O6,10.3390/molecules21060802,
1265,1266,"C1Oc2ccc(cc2O1)-c1cn(nn1)-c1ccc2OCOc2c1
",,Active,Leishmania,Intracellular,20.4,,,,309.28,C16H11N3O4,10.3390/molecules21060802,
1266,1267,"COc1ccc(cc1)-c1cn(nn1)-c1ccc(OC)c(OC)c1
",,Active,Leishmania,Intracellular,16,,,,311.34,C17H17N3O3,10.3390/molecules21060802,
1267,1268,"COc1ccc(cc1)-n1cc(nn1)-c1ccc(OC)c(OC)c1
",,Active,Leishmania,Intracellular,18.3,,,,311.34,C17H17N3O3,10.3390/molecules21060802,
1268,1269,"COc1ccc(cc1)-c1cn(nn1)-c1cc(OC)c(OC)c(OC)c1
",,Active,Leishmania,Intracellular,16.8,,,,341.37,C18H19N3O4,10.3390/molecules21060802,
1269,1270,"COc1ccc(cc1)-n1cc(nn1)-c1cc(OC)c(OC)c(OC)c1
",,Active,Leishmania,Intracellular,16.5,,,,341.37,C18H19N3O4,10.3390/molecules21060802,
1270,1271,"COc1cccc(c1)-c1cn(nn1)-c1ccc2OCOc2c1
",,Active,Leishmania,Intracellular,14.8,,,,295.3,C16H13N3O3,10.3390/molecules21060802,
1271,1272,COc4ccc(n3cc(c2ccc1OCOc1c2)nn3)cc4,,Inactive,Leishmania,Intracellular,50.7,,,,295.3,C16H13N3O3,10.3390/molecules21060802,
1272,1273,"COc1ccc(cc1OC)-c1cn(nn1)-c1cc(OC)c(OC)c(OC)c1
",,Active,Leishmania,Intracellular,5.6,,,,371.39,C19H21N3O5,10.3390/molecules21060802,
1273,1274,"COc1ccc(cc1OC)-n1cc(nn1)-c1cc(OC)c(OC)c(OC)c1
",,Active,Leishmania,Intracellular,29.2,,,,371.39,C19H21N3O5,10.3390/molecules21060802,
1274,1275,"COc1ccc(cc1OC)-c1cn(nn1)-c1ccc2OCOc2c1
",,Active,Leishmania,Intracellular,32.7,,,,325.32,C17H15N3O4,10.3390/molecules21060802,
1275,1276,"COc1ccc(cc1OC)-n1cc(nn1)-c1ccc2OCOc2c1
",,Active,Leishmania,Intracellular,29.9,,,,325.32,C17H15N3O4,10.3390/molecules21060802,
1276,1277,"COc1cc(cc(OC)c1OC)-c1cn(nn1)-c1ccc2OCOc2c1
",,Active,Leishmania,Intracellular,29.8,,,,355.35,C18H17N3O5,10.3390/molecules21060802,
1277,1278,"COc1cc(cc(OC)c1OC)-n1cc(nn1)-c1ccc2OCOc2c1
",,Active,Leishmania,Intracellular,4.4,,,,355.35,C18H17N3O5,10.3390/molecules21060802,
1278,1279,COc4ccc3c(=O)c(c2cc1OCOc1cc2OC)coc3c4,isoflavone with methylenedioxygenated B ring,Inactive,Leishmania,,,,,,326.3,C18H14O6,PMID:22414104,
1279,1280,COc1cc([C@H]2OC[C@@H]3[C@@H]2CO[C@H]3c2ccc(O)c(OC)c2)ccc1O,glycoside,Inactive,Leishmania,,,,,,358.39,C20H22O6,PMID:22414104,
1280,1281,CC(O)c2ccc1OC(C)(C)CC(=O)c1c2,chromanone analogues,Inactive,Leishmania,,,,,,220.27,C13H16O3,PMID:22414104,
1281,1282,Cc2cc(=O)c1c(C(=O)O)cccc1o2,chromone derivative,Inactive,Leishmania,,,,,,204.18,C11H8O4,PMID:22414104,
1282,1283,COc3ccc2oc1ccc(OC)c(O)c1c(=O)c2c3,xanthone,Inactive,Leishmania,,,,,,272.26,C15H12O5,"PMID:22414104
",
1283,1284,COc3cc(O)c2c(=O)c1c(OC)c(OC)ccc1oc2c3,xanthone,Inactive,Leishmania,,,,,,302.28,C16H14O6,"PMID:22414104
",
1284,1285,"CCCCCCCCCC[C@@H]([C@H]1CC[C@@H](O1)[C@H]2CC[C@@H](O2)[C@@H](CCCCCCCC[C@H](CC3=C[C@@H](OC3=O)C)O)O)O
",molvizarine,Inactive,Leishmania,,,,,,594.87,C35H62O7,"PMID:22414104
",
1285,1286,CCCCCCCCCCC(O)C3CCC(C2CCC(C(O)CCCCCCCCC(O)C/C1=C/C(C)OC1=O)O2)O3,parviflorin,Inactive,Leishmania,,,,,,594.87,C35H62O7,"PMID:22414104
",
1286,1287,c1cc2c(cc1O)OC[C@@H]3[C@H]2Oc4c3cc5c(c4)OCO5,maackiain,Inactive,Leishmania,,,,,,284.27,C16H12O5,"PMID:22414104
",
1287,1288,"NC1=NC(=CC(=N1)C1=CC=C(C=C1)C1NC(=O)C2=CC=CC=C2N1)C1=CC=C(C=C1)C1=CC=CC=C1
","quinazolinone,pyrimidine",Inactive,Leishmania,Intracellular,17,,,,469.55,C30H23N5O,10.1021/jm400053v,
1288,1289,"COC1=CC(=CC(OC)=C1OC)C1=CC=C(C=C1)C1=CC(=NC(N)=N1)C1=CC=C(C=C1)C1NC(=O)C2=C(N1)C=CC=C2
","3,4,5-trimethoxy substituted hybrid",Active,Leishmania,Intracellular,3.83 ± 1.1,,,,559.63,C33H29N5O4,10.1021/jm400053v,
1289,1290,"COC1=CC(=CC(C)=C1OC)C1=CC=C(C=C1)C1=CC(=NC(N)=N1)C1=CC=C(C=C1)C1NC(=O)C2=CC=CC=C2N1
",dimethoxy,Active,Leishmania,Intracellular,4.43,,,,543.63,C33H29N5O3,10.1021/jm400053v,
1290,1291,"COC1=CC=C(C=C1)C1=CC=C(C=C1)C1=CC(=NC(N)=N1)C1=CC=C(C=C1)C1NC(=O)C2=CC=CC=C2N1
",monomethoxy,Active,Leishmania,Intracellular,10.08,,,,499.57,C31H25N5O2,10.1021/jm400053v,
1291,1292,"NC1=NC(=CC(=N1)C1=CC=C(C=C1)C1NC(=O)C2=CC=CC=C2N1)C1=CC=C(C=C1)C1=CC=C(F)C=C1
","quinazolinone,pyrimidine",Inactive,Leishmania,Intracellular,24.68,,,,487.54,C30H22FN5O,10.1021/jm400053v,
1292,1293,"NC1=NC(=CC(=N1)C1=CC=C(C=C1)C1NC(=O)C2=CC=CC=C2N1)C1=CC=C(C=C1)C1=CC=C(Cl)C=C1

","quinazolinone,pyrimidine",Active,Leishmania,Intracellular,1.89,,,,503.99,C30H22ClN5O,10.1021/jm400053v,
1293,1294,"NC1=NC(=CC(=N1)C1=CC=C(C=C1)C1NC(=O)C2=CC=CC=C2N1)C1=CC=C(C=C1)C1=CC=C(Br)C=C1
","quinazolinone,pyrimidine",Active,Leishmania,Intracellular,7.02,,,,548.44,C30H22BrN5O,10.1021/jm400053v,
1294,1295,"CC1=CC(=CC=C1Cl)C1=CC=C(C=C1)C1=CC(=NC(N)=N1)C1=CC=C(C=C1)C1NC(=O)C2=CC=CC=C2N1
","quinazolinone,pyrimidine",Inactive,Leishmania,Intracellular,15.31,,,,518.02,C31H24ClN5O,10.1021/jm400053v,
1295,1296,"CN1CCN(CC1)C1=CC=C(C=C1)C1=CC=C(C=C1)C1=CC(=NC(N)=N1)C1=CC=C(C=C1)C1NC(=O)C2=CC=CC=C2N1
","quinazolinone,pyrimidine",Active,Leishmania,Intracellular,0.65,,,,567.7,C35H33N7O,10.1021/jm400053v,
1296,1297,"CC1(NC(=O)C2=CC=CC=C2N1)C1=CC=C(NC2=NC(=NC(=N2)N2CCCCC2)N2CCCCC2)C=C1
","quinazolinone,triazine hybrid",Active,Leishmania,Intracellular,3.95,,,,498.64,C28H34N8O,10.1021/jm400053v,
1297,1298,"CC1(NC(=O)C2=CC=CC=C2N1)C1=CC=C(NC2=NC(=NC(=N2)N2CCCCCC2)N2CCCCCC2)C=C1
","quinazolinone,triazine hybrid",Active,Leishmania,Intracellular,2.59,,,,526.69,C30H38N8O,10.1021/jm400053v,
1298,1299,"CC1(NC(=O)C2=CC=CC=C2N1)C1=CC=C(NC2=NC(=NC(=N2)N2CCC(O)CC2)N2CCC(O)CC2)C=C1
","quinazolinone,triazine hybrid",Inactive,Leishmania,Intracellular,>40,,,,530.63,C28H34N8O3,10.1021/jm400053v,
1299,1300,CC6(c4ccc(Nc3nc(N1CCOCC1)nc(N2CCOCC2)n3)cc4)NC(=O)c5ccccc5N6,"quinazolinone,triazine hybrid",Inactive,Leishmania,Intracellular,>40,,,,502.58,C26H30N8O3,10.1021/jm400053v,
1300,1301,CC6(c4ccc(Nc3nc(NCCCN1CCOCC1)nc(NCCCN2CCOCC2)n3)cc4)NC(=O)c5ccccc5N6,"quinazolinone,triazine hybrid",Inactive,Leishmania,Intracellular,>40,,,,616.77,C32H44N10O3,10.1021/jm400053v,
1301,1302,CN8CCCc7cc(c6nc(Nc3ccc(C2(C)NC(=O)c1ccccc1N2)cc3)nc(c5ccc4CCCN(C)c4c5)n6)ccc78,"quinazolinone,triazine hybrid",Inactive,Leishmania,Intracellular,>40,,,,622.78,C38H38N8O,10.1021/jm400053v,
1302,1303,"CN1CCc2cc(ccc2C1)-c1nc(Nc2ccc(cc2)C2(C)NC(=O)c3ccccc3N2)nc(n1)-c1ccc2CN(C)CCc2c1
","quinazolinone,triazine hybrid",Active,Leishmania,Intracellular,4.39,,,,622.78,C38H38N8O,10.1021/jm400053v,
1303,1304,"CCCCCNc1nc(NCCCCC)nc(Nc2ccc(cc2)C2(C)NC(=O)c3ccccc3N2)n1
","quinazolinone,triazine hybrid",Active,Leishmania,Intracellular,2.42,,,,502.67,C28H38N8O,10.1021/jm400053v,
1304,1305,"CCCCNc1nc(NCCCC)nc(Nc2ccc(cc2)C2(C)NC(=O)c3ccccc3N2)n1
","quinazolinone,triazine hybrid",Active,Leishmania,Intracellular,4.8,,,,474.61,C26H34N8O,10.1021/jm400053v,
1305,1306,"CCCNc1nc(NCCC)nc(Nc2ccc(cc2)C2(C)NC(=O)c3ccccc3N2)n1
","quinazolinone,triazine hybrid",Active,Leishmania,Intracellular,8.87,,,,446.56,C24H30N8O,10.1021/jm400053v,
1306,1307,"CC(C)(C)Nc1nc(Nc2ccc(cc2)C2(C)NC(=O)c3ccccc3N2)nc(NC(C)(C)C)n1
","quinazolinone,triazine hybrid",Active,Leishmania,Intracellular,5.48,,,,474.61,C26H34N8O,10.1021/jm400053v,
1307,1308,"CNCC1=C(C=CO1)c1nc(Nc2ccc(cc2)C2(C)NC(=O)c3ccccc3N2)nc(n1)C1=C(CNC)OC=C1
","quinazolinone,triazine hybrid",Inactive,Leishmania,Intracellular,>20,,,,550.62,C30H30N8O3,10.1021/jm400053v,
1308,1309,"CC1(NC(=O)c2ccccc2N1)c1ccc(Nc2nc(NC3=CC=CC=C3)nc(NC3=CC=CC=C3)n2)cc1
","quinazolinone,triazine hybrid",Inactive,Leishmania,Intracellular,,,,,514.59,C30H26N8O,10.1021/jm400053v,
1309,1310,"CC1(NC(=O)c2ccccc2N1)c1ccc(Nc2nc(NCC3=CC=CC=C3)nc(NCC3=CC=CC=C3)n2)cc1
","quinazolinone,triazine hybrid",Active,Leishmania,Intracellular,6.72,,,,542.65,C32H30N8O,10.1021/jm400053v,
1310,1311,"COC1=CC=C(CNc2nc(NCC3=CC=C(OC)C=C3)nc(Nc3ccc(cc3)C3(C)NC(=O)c4ccccc4N3)n2)C=C1
","quinazolinone,triazine hybrid",Inactive,Leishmania,Intracellular,>40,,,,602.7,C34H34N8O3,10.1021/jm400053v,
1311,1312,CC(C)c5ccc(C(C(=O)NC(C)(C)C)N(C(=O)c1cccc(Cl)c1)c4ccc(C3(C)NC(=O)c2ccccc2N3)cc4)cc5,"quinazolinone,Peptide hybrid",Inactive,Leishmania,Intracellular,12.03,,,,623.2,C37H39ClN4O3,10.1021/jm400053v,
1312,1313,COc5ccc(C(C(=O)NC(C)(C)C)N(C(=O)c1cccc(Cl)c1)c4ccc(C3(C)NC(=O)c2ccccc2N3)cc4)cc5,"quinazolinone,Peptide hybrid",Inactive,Leishmania,Intracellular,29.6,,,,611.14,C35H35ClN4O4,10.1021/jm400053v,
1313,1314,CC(C)(C)NC(=O)C(c1ccc(Cl)cc1)N(C(=O)c2cccc(Cl)c2)c5ccc(C4(C)NC(=O)c3ccccc3N4)cc5,"quinazolinone,Peptide hybrid",Inactive,Leishmania,Intracellular,13.48,,,,615.56,C34H32Cl2N4O3,10.1021/jm400053v,
1314,1315,CC(C)(C)NC(=O)C(c1ccc(Br)cc1)N(C(=O)c2cccc(Cl)c2)c5ccc(C4(C)NC(=O)c3ccccc3N4)cc5,"quinazolinone,Peptide hybrid",Inactive,Leishmania,Intracellular,15.59,,,,660.01,C34H32BrClN4O3,10.1021/jm400053v,
1315,1316,CC(C)c6ccc(C(C(=O)NC1CCCCC1)N(C(=O)c2cccc(Cl)c2)c5ccc(C4(C)NC(=O)c3ccccc3N4)cc5)cc6,"quinazolinone,Peptide hybrid",Active,Leishmania,Intracellular,4.74,,,,649.24,C39H41ClN4O3,10.1021/jm400053v,
1316,1317,COc6ccc(C(C(=O)NC1CCCCC1)N(C(=O)c2cccc(Cl)c2)c5ccc(C4(C)NC(=O)c3ccccc3N4)cc5)cc6,"quinazolinone,Peptide hybrid",Inactive,Leishmania,Intracellular,15.49,,,,637.18,C37H37ClN4O4,10.1021/jm400053v,
1317,1318,"CC1(NC(=O)c2ccccc2N1)c1ccc(cc1)N(C(C(=O)NC1CCCCC1)c1ccc(Cl)cc1)C(=O)c1cccc(Cl)c1
","quinazolinone,Peptide hybrid",Inactive,Leishmania,Intracellular,15.79,,,,641.6,C36H34Cl2N4O3,10.1021/jm400053v,
1318,1319,"CC(C)c1cccc(CC(Nc2ccc(cc2)C2(C)NC(=O)c3ccccc3N2)c2nnnn2CC(C)(C)C)c1
","quinazolinone,tetrazole hybrid",Active,Leishmania,Intracellular,7.76,,,,537.71,C32H39N7O,10.1021/jm400053v,
1319,1320,"COc1ccc(CC(Nc2ccc(cc2)C2(C)NC(=O)c3ccccc3N2)c2nnnn2CC(C)(C)C)cc1
","quinazolinone,tetrazole hybrid",Inactive,Leishmania,Intracellular,13.05,,,,525.66,C30H35N7O2,10.1021/jm400053v,
1320,1321,COc5cc(CC(Nc3ccc(C2(C)NC(=O)c1ccccc1N2)cc3)c4nnnn4CC(C)(C)C)cc(OC)c5OC,"quinazolinone,tetrazole hybrid",Inactive,Leishmania,Intracellular,,,,,585.71,C32H39N7O4,10.1021/jm400053v,
1321,1322,CC(C)(C)Cn1nnnc1C(Cc2ccc(F)cc2)Nc5ccc(C4(C)NC(=O)c3ccccc3N4)cc5,"quinazolinone,tetrazole hybrid",Inactive,Leishmania,Intracellular,,,,,513.62,C29H32FN7O,10.1021/jm400053v,
1322,1323,"CC(C)(C)Cn1nnnc1C(Cc1cccc(F)c1)Nc1ccc(cc1)C1(C)NC(=O)c2ccccc2N1
","quinazolinone,tetrazole hybrid",Active,Leishmania,Intracellular,7.06,,,,513.62,C29H32FN7O,10.1021/jm400053v,
1323,1324,"CC(C)(C)Cn1nnnc1C(Cc1cccc(Br)c1)Nc1ccc(cc1)C1(C)NC(=O)c2ccccc2N1
","quinazolinone,tetrazole hybrid",Active,Leishmania,Intracellular,8.46,,,,574.53,C29H32BrN7O,10.1021/jm400053v,
1324,1325,CC(C)(C)Cn1nnnc1C(Cc2ccncc2)Nc5ccc(C4(C)NC(=O)c3ccccc3N4)cc5,"quinazolinone,tetrazole hybrid",Inactive,Leishmania,Intracellular,>40,,,,496.62,C28H32N8O,10.1021/jm400053v,
1325,1326,Cc5cccc6cccc(C(Nc3ccc(C2(C)NC(=O)c1ccccc1N2)cc3)c4nnnn4CC(C)(C)C)c56,"quinazolinone,tetrazole hybrid",Inactive,Leishmania,Intracellular,>20,,,,545.69,C33H35N7O,10.1021/jm400053v,
1326,1327,COc5ccc(C)c6c(C(Nc3ccc(C2(C)NC(=O)c1ccccc1N2)cc3)c4nnnn4CC(C)(C)C)cccc56,"quinazolinone,tetrazole hybrid",Inactive,Leishmania,Intracellular,15.53,,,,575.72,C34H37N7O2,10.1021/jm400053v,
1327,1328,"CC(C)c1cccc(CC(Nc2ccc(cc2)C2(C)NC(=O)c3ccccc3N2)c2nnnn2CC2CCCCC2)c1
","quinazolinone,tetrazole hybrid",Active,Leishmania,Intracellular,9.07,,,,563.75,C34H41N7O,10.1021/jm400053v,
1328,1329,COc6ccc(CC(Nc3ccc(C2(C)NC(=O)c1ccccc1N2)cc3)c4nnnn4CC5CCCCC5)cc6,"quinazolinone,tetrazole hybrid",Inactive,Leishmania,Intracellular,16.76,,,,551.7,C32H37N7O2,10.1021/jm400053v,
1329,1330,CC6(c4ccc(NC(Cc1ccc(Cl)cc1)c2nnnn2CC3CCCCC3)cc4)NC(=O)c5ccccc5N6,"quinazolinone,tetrazole hybrid",Active,Leishmania,Intracellular,11.33,,,,556.11,C31H34ClN7O,10.1021/jm400053v,
1330,1331,CC6(c4ccc(NC(Cc1ccc(Br)cc1)c2nnnn2CC3CCCCC3)cc4)NC(=O)c5ccccc5N6,"quinazolinone,tetrazole hybrid",Active,Leishmania,Intracellular,9.42,,,,600.57,C31H34BrN7O,10.1021/jm400053v,
1331,1332,CC(C)(C)Cn1nnnc1C(CNCc2ccccc2)c5ccc(C4NC(=O)c3ccccc3N4)cc5,"quinazolinone,tetrazole hybrid",Inactive,Leishmania,Intracellular,>40,,,,495.63,C29H33N7O,10.1021/jm400053v,
1332,1333,CCCCCNCC(c3ccc(C2NC(=O)c1ccccc1N2)cc3)c4nnnn4CC(C)(C)C,"quinazolinone,tetrazole hybrid",Inactive,Leishmania,Intracellular,>40,,,,475.64,C27H37N7O,10.1021/jm400053v,
1333,1334,CCCCNCC(c3ccc(C2NC(=O)c1ccccc1N2)cc3)c4nnnn4CC(C)(C)C,"quinazolinone,tetrazole hybrid",Inactive,Leishmania,Intracellular,>40,,,,461.61,C26H35N7O,10.1021/jm400053v,
1334,1335,CN6CCc5cc(C(c3ccc(C2NC(=O)c1ccccc1N2)cc3)c4nnnn4CC(C)(C)C)ccc5C6,"quinazolinone,tetrazole hybrid",Inactive,Leishmania,Intracellular,>40,,,,521.67,C31H35N7O,10.1021/jm400053v,
1335,1336,"CC(C)(C)Cn1nnnc1C(NC1=CC=CC=C1)c1ccc(cc1)C1NC(=O)c2ccccc2N1
",,Inactive,Leishmania,Intracellular,,,,,467.58,C27H29N7O,10.1021/jm400053v,
1336,1337,C1=C(NC(=C1Br)Br)C(=O)NCCCCNCCCNC(=O)C2=CC(=C(N2)Br)Br,pseudoceratidine,Inactive,Leishmania,,,,,,647.0,C17H21Br4N5O2,10.1021/acs.jnatprod.7b00876,
1337,1338,CC(=O)c1c(Br)c(Br)[nH]c1C(=O)NCCCCN(CCCNC(=O)c2[nH]c(Br)c(Br)c2C(C)=O)C(C)=O,N 12 -Acetylpseudoceratidine,Inactive,Leishmania,,,,,,773.12,C23H27Br4N5O5,10.1021/acs.jnatprod.7b00876,
1338,1339,c1cc([nH]c1C(=O)NCCCCNCCCNC(=O)c2cc(c([nH]2)Br)Br)Br,3-debromopseudoceratidine,Inactive,Leishmania,,,,,,568.11,C17H22Br3N5O2,10.1021/acs.jnatprod.7b00876,
1339,1340,c1cc([nH]c1C(=O)NCCCNCCCCNC(=O)c2cc(c([nH]2)Br)Br)Br,20-debromopseudoceratidine,Inactive,Leishmania,,,,,,568.11,C17H22Br3N5O2,10.1021/acs.jnatprod.7b00876,
1340,1341,COC1(C=C(NC1=O)C(=O)NCCCNCCCCNC(=O)c2cc(c([nH]2)Br)Br)Br,tedamide A,Inactive,Leishmania,,,,,,614.13,C18H24Br3N5O4,10.1021/acs.jnatprod.7b00876,
1341,1342,COC1(C=C(NC1=O)C(=O)NCCCCNCCCNC(=O)c2cc(c[nH]2)Br)Br,tedamide B,Inactive,Leishmania,,,,,,535.24,C18H25Br2N5O4,10.1021/acs.jnatprod.7b00876,
1342,1343,CN(CCCCNC(=O)c1cc(Br)c(Br)[nH]1)CCCNC(=O)c2cc(Br)c(Br)[nH]2,N-Methylpseudoceratidine,Inactive,Leishmania,,,,,,661.03,C18H23Br4N5O2,10.1021/acs.jnatprod.7b00876,
1343,1344,Brc1cc([nH]c1Br)C(=O)NCCCCN(CCCNC(=O)c1cc(Br)c(Br)[nH]1)C(=O)CN=[N+]=[N-],pseudoceratidine derivative,Inactive,Leishmania,,,,,,730.05,C19H22Br4N8O3,10.1021/acs.jnatprod.7b00876,
1344,1345,BrC1=C(Br)C=C(N1)C(=O)NCCCCCCCCNC(=O)c1cc(Br)c(Br)[nH]1,pseudoceratidine derivative,Inactive,Leishmania,,,,,,646.02,C18H22Br4N4O2,10.1021/acs.jnatprod.7b00876,
1345,1346,O=C(NCCCCCCNCCCCCCNC(=O)c1cc(Br)c(Br)[nH]1)c2cc(Br)c(Br)[nH]2,pseudoceratidine derivative,Inactive,Leishmania,,,,,,717.14,C22H31Br4N5O2,10.1021/acs.jnatprod.7b00876,
1346,1347,O=C(NCCCCCNC(=O)c1ccc[nH]1)c2ccc[nH]2,pseudoceratidine derivative,Inactive,Leishmania,,,,,,288.35,C15H20N4O2,10.1021/acs.jnatprod.7b00876,
1347,1348,O=C(NCCCCNCCCNC(=O)c1ccc[nH]1)c2ccc[nH]2,debrominated pseudoceratidin,Inactive,Leishmania,,,,,,331.42,C17H25N5O2,10.1021/acs.jnatprod.7b00876,
1348,1349,O=C(NCCCCNCCCNC(=O)c1cc(Br)c[nH]1)c2cc(Br)c[nH]2," 2,21-debromo-pseudoceratidine",Inactive,Leishmania,,,,,,489.21,C17H23Br2N5O2,10.1021/acs.jnatprod.7b00876,
