CompoundID,SMILES,Common name,Biological Activity,Pathogen,IC50(µM/ml) ,IC50(µg/ml),% Inhibition ,Weight,Origin,Formula,Nature,Family,Subfamily,ID_ref,References,References_
553,COC(=O)C4Cc1c([nH]c2ccccc12)C(c3ccc(C(C)C)cc3)N4C(=O)C(=O)c5c[nH]c6ccccc56,,Active,Leishmania,6.02,,,519.601,,C32H29N3O4,synthetic,indolylglyoxylamide derivative,,492,"10.1021/cr400552x;
    10.1016/j.bmcl.2010.08.119",
554,COC(=O)C4Cc1c([nH]c2ccccc12)C(c3ccc(Cl)cc3)N4C(=O)C(=O)c5c[nH]c6ccccc56,,Active,Leishmania,4.36,,,511.965,,C29H22ClN3O4,,indolylglyoxylamide derivative,,493,"10.1021/cr400552x; 
    10.1016/j.bmcl.2010.08.119",
555,COC(=O)C4Cc1c([nH]c2ccccc12)C(c3ccccc3Br)N4C(=O)C(=O)c5c[nH]c6ccccc56,,Active,Leishmania,3.79,,,556.416,,C29H22BrN3O4,,indolylglyoxylamide derivative,,494,"10.1021/cr400552x;
    10.1016/j.bmcl.2010.08.119",
556,COC(=O)C4Cc1c([nH]c2ccccc12)C(c3ccc(C)cc3)N4C(=O)C(=O)c5c[nH]c6ccc(Br)cc56,,Active,Leishmania,5.18,,,570.443,,C30H24BrN3O4,,indolylglyoxylamide derivative,,496,"10.1021/cr400552x; 
    10.1016/j.bmcl.2010.08.119",
557,COC(=O)C4Cc1c([nH]c2ccccc12)C(c3ccc(C)cc3)N4C(=O)C(=O)c5c[nH]c6ccc(Br)cc56,,Active,Leishmania,4.79,,,570.443,,C30H24BrN3O4,,indolylglyoxylamide derivative,,496,"10.1021/cr400552x;
    10.1016/j.bmcl.2010.08.119",
558,[H]c1cc(CC)ccc1C4c3[nH]c2ccccc2c3CC(C(=O)OC)N4C(=O)C(=O)c5c[nH]c6ccc(Br)cc56,,Active,Leishmania,5.36,,,584.47,,C31H26BrN3O4,synthetic,indolylglyoxylamide derivative,,498,"10.1021/cr400552x;
    10.1016/j.bmcl.2010.08.119",
559,[H]c1cc(CC)ccc1C4c3[nH]c2ccccc2c3CC(C(=O)OC)N4C(=O)C(=O)c5c[nH]c6ccc(Br)cc56,,Active,Leishmania,5.86,,,584.47,,C31H26BrN3O4,synthetic,indolylglyoxylamide derivative,,498,"10.1021/cr400552x;
    10.1016/j.bmcl.2010.08.119",
560,COC(=O)C4Cc1c([nH]c2ccccc12)C(c3ccc(C(C)C)cc3)N4C(=O)C(=O)c5c[nH]c6ccc(Br)cc56,,Active,Leishmania,3.91,,,598.497,,C32H28BrN3O4,synthetic,indolylglyoxylamide derivative,,500,"10.1021/cr400552x;
    10.1016/j.bmcl.2010.08.119",
561,COC(=O)C4Cc1c([nH]c2ccccc12)C(c3ccc(C(C)C)cc3)N4C(=O)C(=O)c5c[nH]c6ccc(Br)cc56,,Active,Leishmania,4.44,,,598.497,,C32H28BrN3O4,synthetic,indolylglyoxylamide derivative,,500,"10.1021/cr400552x;
    10.1016/j.bmcl.2010.08.119",
562,COC(=O)C4Cc1c([nH]c2ccccc12)C(c3ccc(Cl)cc3)N4C(=O)C(=O)c5c[nH]c6ccc(Br)cc56,,Active,Leishmania,4.02,,,590.861,,C29H21BrClN3O4,synthetic,indolylglyoxylamide derivative,,501,"10.1021/cr400552x; 
    10.1016/j.bmcl.2010.08.119",
563,COC(=O)C4Cc1c([nH]c2ccccc12)C(c3ccccc3Br)N4C(=O)C(=O)c5c[nH]c6ccc(Br)cc56,,Active,Leishmania,4.09,,,635.312,,C29H21Br2N3O4,synthetic,indolylglyoxylamide derivative,,502,"10.1021/cr400552x;
    10.1016/j.bmcl.2010.08.119",
564,CN1c2ccccc2C(=O)C1=O,N-methylisatin,Inactive,Leishmania,,,,161.16,,C9H7NO2,synthetic,indole derivative,Triazine,504,10.1021/cr400552x,
565,Cn6c1ccccc1c5nnc(Sc4nc(N2CCCCC2)nc(N3CCCCC3)n4)nc56,"3-(4,6-Di(piperidin-1-yl)-1,3,5-triazin-2-ylthio)-5-methyl-
5H[1,2,4]triazino[5,6-b]indole",Active,Leishmania,227.04,,,461.599,,C23H27N9S,synthetic,indole derivitive,triazine,507,"10.1021/cr400552x; 
    10.1016/j.ejmech.2010.02.015

",
566,Cn6c1ccccc1c5nnc(Sc4nc(N2CCCCC2)nc(N3CCCCC3)n4)nc56,"3-(4,6-Di(piperidin-1-yl)-1,3,5-triazin-2-ylthio)-5-methyl-
5H[1,2,4]triazino[5,6-b]indole",Active,Leishmania,4.01,,,461.599,,C23H27N9S,synthetic,indole derivitive,triazine,507,"10.1021/cr400552x; 
    10.1016/j.ejmech.2010.02.015

",
567,CCN6CCN(c5nc(Sc3nnc2c1ccccc1n(C)c2n3)nc(N4CCN(CC)CC4)n5)CC6,"1,2,4-triazinoindole-triazine hybrid",Active,Leishmania,93.17,,,519.683,synthetic,C25H33N11S,triazine,indole derivitive,,508,"10.1021/cr400552x;
    10.1016/j.ejmech.2010.02.015

",
568,CCN6CCN(c5nc(Sc3nnc2c1ccccc1n(C)c2n3)nc(N4CCN(CC)CC4)n5)CC6,"1,2,4-triazinoindole-triazine hybrid",Active,Leishmania,15.51,,,519.683,synthetic,C25H33N11S,triazine,indole derivitive,,508,"10.1021/cr400552x;
    10.1016/j.ejmech.2010.02.015

",
569,CC(C)Nc4nc(NC(C)C)nc(Sc3nnc2c1ccccc1n(C)c2n3)n4,,Active,Leishmania,64.49,,,409.523,,C19H23N9S,synthetic,indole derivitive,triazine,509,"10.1021/cr400552x;
    10.1016/j.ejmech.2010.02.015

",
570,CC(C)Nc4nc(NC(C)C)nc(Sc3nnc2c1ccccc1n(C)c2n3)n4,,Active,Leishmania,17.38,,,409.523,,C19H23N9S,synthetic,indole derivitive,triazine,509,"10.1021/cr400552x;
    10.1016/j.ejmech.2010.02.015

",
571,Cc5nc(Sc3nnc2c1ccccc1n(C)c2n3)nc(N4CCCCC4)n5,"1,2,4-triazinoindole-pyrimidine derivative",Active,Leishmania,173.29,,,392.492,synthetic,C19H20N8S,triazine,indole derivitive,,511,"10.1021/cr400552x;
    10.1016/j.ejmech.2010.02.015

",
572,Cc5nc(Sc3nnc2c1ccccc1n(C)c2n3)nc(N4CCCCC4)n5,"1,2,4-triazinoindole-pyrimidine derivative",Active,Leishmania,25.7,,,392.492,synthetic,C19H20N8S,triazine,indole derivitive,,511,"10.1021/cr400552x;
    10.1016/j.ejmech.2010.02.015

",
573,CCN5CCN(c4nc(C)nc(Sc3nnc2c1ccccc1n(C)c2n3)n4)CC5,,Active,Leishmania,26.3,,,421.534,,C20H23N9S,synthetic,indole derivitive,triazine,512,"10.1021/cr400552x; 
    10.1016/j.ejmech.2010.02.015

",
574,CCCCNc4nc(C)nc(Sc3nnc2c1ccccc1n(C)c2n3)n4,,Active,Leishmania,18.33,,,380.481,,C18H20N8S,synthetic,indole derivitive,triazine,513,"10.1021/cr400552x; 
    10.1016/j.ejmech.2010.02.015

",
575,COC(=O)[C@H]([C@H]1C[C@H]2c3c(c4ccccc4[nH]3)CCN2CC1C=C)[C@@H]5c6c(c7ccccc7[nH]6)CCN5,buchtienine,Active,Leishmania,,0.3-1.56,,494.639,Kopsia griffithii,C31H34N4O2,natural,alkaloid,beta-carboline alkaloid,514,"10.1021/cr400552x;
    10.1016/j.ejmech.2010.04.004

",
576,COc1ccc2c(c1)[nH]c3c(C)nccc23,armine,Active,Leishmania,,"
",,212.252,Peganum harmala,C13H12N2O,natural,alkaloid,beta-carboline alkaloid,1096,"10.1021/cr400552x;
10.1080/10611860410001712696 
",
577,c1ccc2c(c1)c3ccnc(c3[nH]2)c4ccnc(n4)N,annomontine,Active,Leishmania,,34.8 ± 1.5,,261.288,Annona fetida,C15H11N5,natural,alkaloid,beta-carboline alkaloid,516,"10.1021/cr400552x;
    10.1016/j.ejmech.2010.04.004

",
578,COc1cc(cc(c1OC)OC)C2c3c(c4ccccc4[nH]3)CCN2c5nc(cc(n5)Cl)Cl,,Active,Leishmania,,3.81,,485.371,,C24H22Cl2N4O3,synthetic,indole derivative,"tetrahydro-beta-
carboline",520,"10.1021/cr400552x;
    10.1016/j.ejmech.2010.04.004

",
579,COc1ccc(cc1OC)C2c3c(c4ccccc4[nH]3)CCN2c5nc(cc(n5)Cl)Cl,,Active,Leishmania,,1.93,,455.345,,C23H20Cl2N4O2,synthetic,indole derivative,beta-carboline,521,"10.1021/cr400552x;
    10.1016/j.ejmech.2010.04.004

",
580,COc1ccc(cc1)C2c3c(c4ccccc4[nH]3)CCN2c5nc(cc(n5)Cl)Cl,,Active,Leishmania,,3.57,,425.319,,C22H18Cl2N4O,synthetic,indole derivative,beta-carboline,522,"10.1021/cr400552x;
    10.1016/j.ejmech.2010.04.004

",
581,c1ccc2c(c1)c3c([nH]2)C(N(CC3)c4nc(cc(n4)Cl)Cl)c5cccc(c5)Br,,Active,Leishmania,,7.79,,474.189,,C21H15BrCl2N4,synthetic,indole derivative,beta-carboline,523,"10.1021/cr400552x;
    10.1016/j.ejmech.2010.04.004

",
582,CCc1ccc(cc1)C2c3c(c4ccccc4[nH]3)CCN2c5nc(cc(n5)Cl)Cl,,Active,Leishmania,,4.46,,423.347,,C23H20Cl2N4,synthetic,indole derivative,beta-carboline,524,"10.1021/cr400552x;
    10.1016/j.ejmech.2010.04.004

",
583,Cc1ccc(cc1)C2c3c(c4ccccc4[nH]3)CCN2c5nc(cc(n5)Cl)Cl,,Active,Leishmania,,6,,409.32,,C22H18Cl2N4,synthetic,indole derivative,beta-carboline,525,"10.1021/cr400552x;
    10.1016/j.ejmech.2010.04.004

",
584,COc7ccc(C3c2[nH]c1ccccc1c2CCN3c6nc(N4CCN(C)CC4)cc(N5CCN(C)CC5)n6)cc7OC,,Active,Leishmania,,0.49,,582.753,,C33H42N8O2,synthetiic,indole derivative,beta-carboline,526,"10.1021/cr400552x;
    10.1016/j.ejmech.2010.04.004

",
585,CCN7CCN(c6cc(N1CCN(CC)CC1)nc(N4CCc2c([nH]c3ccccc23)C4c5ccc(OC)c(OC)c5)n6)CC7,,Active,Leishmania,,0.48,,610.807,,C35H46N8O2,synthetic,indole derivative,beta-carboline,527,"10.1021/cr400552x; 
    10.1016/j.ejmech.2010.04.004

",
586,Cc7ccc(C3c2[nH]c1ccccc1c2CCN3c6nc(N4CCOCC4)cc(N5CCOCC5)n6)cc7,,Active,Leishmania,,4.48,,510.642,,C30H34N6O2,synthetic,indole derivative,beta-carboline,528,"10.1021/cr400552x;
    10.1016/j.ejmech.2010.04.004

",
587,c1ccc2c(c1)c(c[nH]2)CCNc3nc(cc(n3)N4CCOCC4)N5CCOCC5,,Active,Leishmania,,3.05,,408.506,,C22H28N6O2,synthetic,indole derivative,beta-carboline,529,"10.1021/cr400552x;
    10.1016/j.ejmech.2010.04.004

",
588,CN1CCN(CC1)c2cc(nc(n2)NCCc3c[nH]c4c3cccc4)N5CCN(CC5)C,,Active,Leishmania,,1.74,,434.592,,C24H34N8,synthetic,indole derivative,beta-carboline,530,"10.1021/cr400552x;
    10.1016/j.ejmech.2010.04.004

",
589,Brc1ccccc1Cn3c2ccccc2c(c3)Cn4ccnc4,,Active,Leishmania,,0.011,,366.262,,C19H16BrN3,synthetic,indole derivative,3-imidazolylalkylindole,534,10.1021/cr400552x,
590,Brc1ccccc1Cn3c2ccccc2c(c3)Cn4ccnc4,,Active,Leishmania,,29.12,,366.262,,C19H16BrN3,synthetic,indole derivative,3-imidazolylalkylindole,534,10.1021/cr400552x,
591,Brc1ccccc1Cn3c2ccccc2c(c3)Cn4ccnc4,,Active,Leishmania,,0.018,,366.262,,C19H16BrN3,synthetic,indole derivative,3-imidazolylalkylindole,534,10.1021/cr400552x,
592,O=C1NC(=S)N\C1=C/C1=CN(CCCCCOC2=CC=C(C=C2)C#N)C2=CC=CC=C12,Pentamidine Aplysinopsin Hybrid compound,Active,Leishmania,,,,430.533,,C24H22N4O2S,synthetic,indole derivative,,538,10.1021/cr400552x ,  10.1021/jm900564x
593,O=C1NC(=S)N\C1=C/C1=CN(CCCCCOC2=CC=C(C=C2)C#N)C2=CC=CC=C12,Pentamidine Aplysinopsin Hybrid compound,Active,Leishmania,,>100,,430.533,,C24H22N4O2S,synthetic,indole derivative,,538,10.1021/cr400552x ,  10.1021/jm900564x
594,CN1C(=O)NC(=O)\C1=C/C1=CN(CCCCCOC2=CC=C(C=C2)C(\N)=N\O)C2=CC=CC=C12,Pentamidine Aplysinopsin Hybrid compound,Inactive,Leishmania,,,,461.522,,C25H27N5O4,synthetic,indole derivative,,541,10.1021/cr400552x,
595,COc1c(ccc(c1)/C=C/C(=O)CC(=O)/C=C/c2cc(c(cc2)O)OC)O,curcumin,Active,Leishmania,,,,368.385,Curcuma longa,C21H20O6,natural,Curcumin Derivative,,542,10.1021/cr400552x , 10.1016/j.ejmech.2009.11.035
596,COc2cc(/C=C/C(=O)CC(=O)/C=C/c1ccc(O)c(O)c1)ccc2O,mono-O-demethyl analogue of curcumin,Active,Leishmania,,,,354.358,,C20H18O6,synthetic,Curcumin Derivative,,543,10.1021/cr400552x , 10.1016/j.ejmech.2009.11.035
597,COc2ccc(/C=C/C(=O)CC(=O)/C=C/c1ccc(OC)c(OC)c1)cc2OC,,Active,Leishmania,,,,396.439,,C23H24O6,synthetic,Curcumin Derivative,,544,10.1021/cr400552x , 10.1016/j.ejmech.2009.11.035
598,COc2ccc(/C=C/C(=O)CC(=O)/C=C/c1ccc(OC)c(OC)c1)cc2OC,,Active,Leishmania,10,,,396.439,,C23H24O6,synthetic,Curcumin Derivative,,544,10.1021/cr400552x , 10.1016/j.ejmech.2009.11.035
599,"C=CCOc2ccc(/C=C/C(=O)CC(=O)/C=C/c1ccc(O)c(OC)c1)cc2OC      
",mono-O-allylcurcumin,Inactive,Leishmania,,,,408.45,,C24H24O6,synthetic,Curcumin Derivative,,545,10.1021/cr400552x , 10.1016/j.ejmech.2009.11.035
600,COc1cc(\C=C\C(=O)CC(=O)\C=C\c2ccc(OCC=C(C)C)c(OC)c2)ccc1O,"mono-O-(3,3-dimethylallyl)curcumin",Active,Leishmania,,,,436.504,,C26H28O6,synthtic,Curcumin Derivative,,546,10.1021/cr400552x , 10.1016/j.ejmech.2009.11.035
601,COc2cc(/C=C/C(=O)CC(=O)/C=C/c1ccc(OCCO)c(O)c1)ccc2O,"4-O-(2-hydroxyethyl)demethoxy-curcumin
",Active,Leishmania,,,,398.411,,C22H22O7,synthetic,Curcumin Derivative,,547,10.1021/cr400552x , 10.1016/j.ejmech.2009.11.035
602,COc1cc(\C=C\C(=O)CC(=O)\C=C\c2ccc(OC3=CC=C(C=O)C=C3)c(OC)c2)ccc1O,,Active,Leishmania,,,,472.493,,C28H24O7,synthetic,,,548,10.1021/cr400552x , 10.1016/j.ejmech.2009.11.035
603,COc1cc(ccc1O)CCC(CC(=O)CCc2ccc(c(c2)OC)O)O,"hexahydrocurcumin
",Active,Leishmania,,,,374.433,,C21H26O6,synthetic,Curcumin Derivative,,549,10.1021/cr400552x , 10.1016/j.ejmech.2009.11.035
604,O=C(CCc1ccc(O)cc1)CC(=O)CCc2ccc(O)cc2,the tetrahydro analogue,Active,Leishmania,,,,312.365,,C19H20O4,synthetic,Curcumin Derivative,,550,10.1021/cr400552x , 10.1016/j.ejmech.2009.11.035
605,COc1cc(CC\C=C\C(=O)CCc2ccc(O)c(OC)c2)ccc1O,enone,Active,Leishmania,,,,356.418,,C21H24O5,synthetic,Curcumin Derivative,,551,10.1021/cr400552x , 10.1016/j.ejmech.2009.11.035
606,O=C(/C=C/CCc1ccc(O)cc1)CCc2ccc(O)cc2,,Active,Leishmania,,,,296.366,,C19H20O3,synthetic,Curcumin Derivative,,552,10.1021/cr400552x , 10.1016/j.ejmech.2009.11.035
607,COc2cc(/C=C/C(=O)/C=C/CCc1ccc(O)c(OC)c1)ccc2O,dienone,Active,Leishmania,,,,354.402,,C21H22O5,synthetic,Curcumin Derivative,,553,10.1021/cr400552x , 10.1016/j.ejmech.2009.11.035
608,COc2cc(/C=C/C=C/C(=O)/C=C/c1ccc(O)c(OC)c1)ccc2O,trienone,Active,Leishmania,,,,352.386,,C21H20O5,synthetic,Curcumin Derivative,,554,10.1021/cr400552x , 10.1016/j.ejmech.2009.11.035
609,CCCCOc1ccc(CC\C=C\C(=O)CCc2ccc(O)c(OC)c2)cc1OC,mono-O-n-pentyl analogue,Active,Leishmania,,,,412.526,,C25H32O5,synthetic,Curcumin Derivative,,555,10.1021/cr400552x , 10.1016/j.ejmech.2009.11.035
610,CCCCOc1ccc(CC\C=C\C(=O)CCc2ccc(OCCCC)c(OC)c2)cc1OC,di-O-n-pentyl analogue,Active,Leishmania,,,,468.634,,C29H40O5,synthetic,Curcumin Derivative,,556,10.1021/cr400552x , 10.1016/j.ejmech.2009.11.035
611,COc2cc(CC/C=C/C(=O)CCc1ccc(OC(C)=O)c(OC)c1)ccc2O,monoacetate,Active,Leishmania,,,,398.455,,C23H26O6,synthetic,Curcumin Derivative,,557,10.1021/cr400552x , 10.1016/j.ejmech.2009.11.035
612,COc2cc(CC/C=C/C(=O)CCc1ccc(OC(C)=O)c(OC)c1)ccc2OC(C)=O,diacetate,Active,Leishmania,,,,440.492,,C25H28O7,synthetic,Curcumin Derivative,,558,10.1021/cr400552x , 10.1016/j.ejmech.2009.11.035
613,c1ccc(cc1)C(=O)Nc2ccc3cc4ccc(cc4nc3c2)NC(=O)c5ccccc5,,Active,Leishmania,4.31,,,417.468,,C27H19N3O2,synthetic,Acridine Derivative,,561,"10.1021/cr400552x; 
10.1016/j.ejmech.2007.02.010",
614,c1ccc(cc1)C(=O)Nc2ccc3cc4ccc(cc4nc3c2)NC(=O)c5ccccc5,,Active,Leishmania,1.1,,,417.468,,C27H19N3O2,synthetic,Acridine Derivative,,561,"10.1021/cr400552x; 
10.1016/j.ejmech.2007.02.010",
615,O=C(Nc4ccc3cc2ccc(NC(=O)c1ccc([Cl])cc1)cc2nc3c4)c5ccc([Cl])cc5,,Active,Leishmania,0.11,,,486.358,,C27H17N3O2Cl2,synthetic,Acridine Derivative,,562,"10.1021/cr400552x; 
10.1016/j.ejmech.2007.02.010",
616,O=C(Nc4ccc3cc2ccc(NC(=O)c1ccc([Cl])cc1)cc2nc3c4)c5ccc([Cl])cc5,,Active,Leishmania,0.2,,,486.358,,C27H17N3O2Cl2,synthetic,Acridine Derivative,,562,"10.1021/cr400552x; 
10.1016/j.ejmech.2007.02.010",
617,O=C(Nc4ccc3cc2ccc(NC(=O)c1ccc(F)cc1)cc2nc3c4)c5ccc(F)cc5,,Active,Leishmania,1.7,,,453.448,,C27H17N3O2F,synthetic,Acridine Derivative,,563,"10.1021/cr400552x;
10.1016/j.ejmech.2007.02.010",
618,COc5ccc(C(=O)Nc4ccc3cc2ccc(NC(=O)c1ccc(OC)c(OC)c1)cc2nc3c4)cc5OC,,Active,Leishmania,16.1,,,537.572,,C31H27N3O6,synthetic,Acridine Derivative,,565,10.1021/cr400552x ,  10.1016/j.ejmech.2007.02.01
619,COc5ccc(C(=O)Nc4ccc3cc2ccc(NC(=O)c1ccc(OC)c(OC)c1)cc2nc3c4)cc5OC,,Active,Leishmania,0.8,,,537.572,,C31H27N3O6,synthetic,Acridine Derivative,,565,10.1021/cr400552x ,  10.1016/j.ejmech.2007.02.01
620,CC(=O)Nc4ccc3cc2ccc(NC(=O)c1ccc(F)cc1)cc2nc3c4,,Active,Leishmania,0.67,,,373.387,,C27H16FN3O2,synthetic,Acridine Derivative,,567,10.1021/cr400552x ,  10.1016/j.ejmech.2007.02.010
621,COc4ccc(C(=O)Nc3ccc2cc1ccc(NC(C)=O)cc1nc2c3)cc4OC,,Active,Leishmania,1.3,,,415.449,,C24H21N3O,synthetic,Acridine Derivative,,568,10.1021/cr400552x ,  10.1016/j.ejmech.2007.02.010
622,c1cc2cc3cccc(c3nc2c(c1)CN)CN,"4,5-Bis(aminomethyl)acridine",Active,Leishmania,3.4,,,237.306,,C15H15N3,synthetic,Acridine Derivative,,572,10.1021/cr400552x ,       10.1016/j.bmc.2005.06.045
623,OCc2cccc3cc1cccc(CO)c1nc23,,Active,Leishmania,O.6,,,239.274,,C15H13NO2,synthetic,Acridine Derivative,,575,10.1021/cr400552x ,       10.1016/j.bmc.2005.06.045
624,[H]C1=C(Cl)C=C2C(=C1)[N]([O-])=C([N-]S(=O)(=O)C1=CC=CC=C1[N+]([O-])=O)C(C#N)=[N]2[O-],"3-amino-1,4-di-N-oxide quinoxaline-2-carbonitrile derivatives",Active,Leishmania,3.1,,,,,Invalid,synthetic,Quinoxaline Derivative,,578,"10.1021/cr400552x; 10.1016/j.bmcl.2011.05.125

",
625,[H]C1=C(Cl)C=C2C(=C1)[N]([O-])=C([N-]S(=O)(=O)C1=CC=C(C=C1)[N+]([O-])=O)C(C#N)=[N]2[O-],"3-amino-1,4-di-N-oxide quinoxaline-2-carbonitrile derivatives",Active,Leishmania,2.1,,,,,Invalid,synthetic,Quinoxaline Derivative,,579,"10.1021/cr400552x; 10.1016/j.bmcl.2011.05.125

",
626,[H]C1=CC2=C(C=C1C)[N]([O-])=C(C#N)C([N-]S(=O)(=O)C1=CC3=CC=CC=C3C=C1)=[N]2[O-],"3-amino-1,4-di-N-oxide quinoxaline-2-carbonitrile derivative",Active,Leishmania,16.3,,,,,Invalid,synthetic,Quinoxaline Derivative,,580,"10.1021/cr400552x;
 10.1016/j.bmcl.2011.05.125

",
627,C/C=C/c1c2cccn2c3ccccc3n1,"4-Substituted Pyrrolo[1,2-
a]quinoxaline analogue",Active,Leishmania,0.5,,,208.264,,C14H12N2,synthetic,Quinoxaline Derivative,,585,10.1021/cr400552x ,  10.1016/j.bmc.2006.09.068
628,C/C=C/c1c2cccn2c3ccccc3n1,"4-Substituted Pyrrolo[1,2-
a]quinoxaline analogue",Active,Leishmania,0.7,,,208.264,,C14H12N2,synthetic,Quinoxaline Derivative,,585,10.1021/cr400552x ,  10.1016/j.bmc.2006.09.068
629,C/C=C/c2nc1cc(OC)ccc1n3cccc23,"4-Substituted Pyrrolo[1,2-
a]quinoxaline analogue",Active,Leishmania,7,,,238.29,,C15H14N2O,synthetic,Quinoxaline Derivative,,586,10.1021/cr400552x ,  10.1016/j.bmc.2006.09.068
630,C/C=C/c2nc1cc(OC)ccc1n3cccc23,"4-Substituted Pyrrolo[1,2-
a]quinoxaline analogue",Active,Leishmania,2,,,238.29,,C15H14N2O,synthetic,Quinoxaline Derivative,,586,10.1021/cr400552x ,  10.1016/j.bmc.2006.09.068
631,C/C=C/c2nc1ccc(OC)cc1n3cccc23,"4-Substituted Pyrrolo[1,2-
a]quinoxaline analogue",Active,Leishmania,1,,,238.29,,C15H14N2O,synthetic,Quinoxaline Derivative,,587,10.1021/cr400552x ,  10.1016/j.bmc.2006.09.068
632,C/C=C/c2nc1ccc(OC)cc1n3cccc23,"4-Substituted Pyrrolo[1,2-
a]quinoxaline analogue",Active,Leishmania,0.5,,,238.29,,C15H14N2O,synthetic,Quinoxaline Derivative,,587,10.1021/cr400552x ,  10.1016/j.bmc.2006.09.068
633,CCC/C=C/c2nc1ccccc1n3cccc23,"4-Substituted Pyrrolo[1,2-
a]quinoxaline analogue",Active,Leishmania,5,,,236.318,,C16H16N2,synthetic,Quinoxaline Derivative,,588,10.1021/cr400552x ,  10.1016/j.bmc.2006.09.068
634,CCC/C=C/c2nc1ccccc1n3cccc23,"4-Substituted Pyrrolo[1,2-
a]quinoxaline analogue",Active,Leishmania,7,,,236.318,,C16H16N2,synthetic,Quinoxaline Derivative,,588,10.1021/cr400552x ,  10.1016/j.bmc.2006.09.068
635,CCC/C=C/c2nc1cc(OC)ccc1n3cccc23,"4-Substituted Pyrrolo[1,2-
a]quinoxaline analogue",Active,Leishmania,6,,,266.344,,C17H18N2O,synthetic,Quinoxaline Derivative,,589,10.1021/cr400552x ,  10.1016/j.bmc.2006.09.068
636,CCC/C=C/c2nc1cc(OC)ccc1n3cccc23,"4-Substituted Pyrrolo[1,2-
a]quinoxaline analogue",Active,Leishmania,1,,,266.344,,C17H18N2O,synthetic,Quinoxaline Derivative,,589,10.1021/cr400552x ,  10.1016/j.bmc.2006.09.068
637,CCC/C=C/c2nc1ccc(OC)cc1n3cccc23,"4-Substituted Pyrrolo[1,2-
a]quinoxaline analogue",Active,Leishmania,4,,,266.344,,C17H18N2O,synthetic,Quinoxaline Derivative,,590,10.1021/cr400552x ,  10.1016/j.bmc.2006.09.068
638,CCC/C=C/c2nc1ccc(OC)cc1n3cccc23,"4-Substituted Pyrrolo[1,2-
a]quinoxaline analogue",Active,Leishmania,2.5,,,266.344,,C17H18N2O,synthetic,Quinoxaline Derivative,,590,10.1021/cr400552x ,  10.1016/j.bmc.2006.09.068
639,c1ccc2c(c1)nc(c3n2ccc3)CCc4ccc5c(c4)OCO5,"4-Substituted Pyrrolo[1,2-
a]quinoxaline analogue",Active,Leishmania,7,,,316.36,,C20H16N2O2,synthetic,Quinoxaline Derivative,,591,10.1021/cr400552x ,  10.1016/j.bmc.2006.09.068
640,c1ccc2c(c1)nc(c3n2ccc3)CCc4ccc5c(c4)OCO5,"4-Substituted Pyrrolo[1,2-
a]quinoxaline analogue",Active,Leishmania,> 50,,,316.36,,C20H16N2O2,synthetic,Quinoxaline Derivative,,591,10.1021/cr400552x ,  10.1016/j.bmc.2006.09.068
641,C/C=C\c1c2cccn2c3ccccc3n1,"4-Substituted Pyrrolo[1,2-
a]quinoxaline analogue",Active,Leishmania,4,,,208.264,,C14H12N2,synthetic,Quinoxaline Derivative,,592,10.1021/cr400552x ,  10.1016/j.bmc.2006.09.068
642,C/C=C\c1c2cccn2c3ccccc3n1,"4-Substituted Pyrrolo[1,2-
a]quinoxaline analogue",Active,Leishmania,0.8,,,208.264,,C14H12N2,synthetic,Quinoxaline Derivative,,592,10.1021/cr400552x ,  10.1016/j.bmc.2006.09.068
643,C=Cc1c2cccn2c3ccccc3n1,"4-(hex-1-ynyl)pyrrolo[1,2-
a]quinoxaline",Active,Leishmania,3,,,194.237,,C13H10N2,synthetic,Quinoxaline Derivative,,593,10.1021/cr400552x ,  10.1016/j.bmc.2006.09.068
644,C=Cc1c2cccn2c3ccccc3n1,"4-(hex-1-ynyl)pyrrolo[1,2-
a]quinoxaline",Active,Leishmania,0.5,,,194.237,,C13H10N2,synthetic,Quinoxaline Derivative,,593,10.1021/cr400552x ,  10.1016/j.bmc.2006.09.068
645,CCCCc2nc1cc(OC)ccc1n3cccc23,"4-(hex-1-ynyl)pyrrolo[1,2-
a]quinoxaline",Active,Leishmania,3,,,254.333,,C18H18N2O,synthetic,Quinoxaline Derivative,,594,10.1021/cr400552x ,  10.1016/j.bmc.2006.09.068
646,CCCCc2nc1cc(OC)ccc1n3cccc23,"4-(hex-1-ynyl)pyrrolo[1,2-
a]quinoxaline",Active,Leishmania,7,,,254.333,,C18H18N2O,synthetic,Quinoxaline Derivative,,594,10.1021/cr400552x ,  10.1016/j.bmc.2006.09.068
647,CCCC\C=C\C1=NC2=CC=CC=C2N2C=CC=C12,"4-(E)-alkenylpyrrolo[1,2-a]quinoxaline
analogue",Active,Leishmania,0.5,,,250.345,,C17H18N2,synthetic,Quinoxaline Derivative,,595,"10.1021/cr400552x; 
    10.1080/14756360701425089 ",
648,CCCC\C=C\C1=NC2=CC=CC=C2N2C=CC=C12,"4-(E)-alkenylpyrrolo[1,2-a]quinoxaline
analogue",Active,Leishmania,0.6,,,250.345,,C17H18N2,synthetic,Quinoxaline Derivative,,595,"10.1021/cr400552x; 
    10.1080/14756360701425089 ",
