SMILES,Common name,IC50micromol,IC50microgML,Formula,Weight,Origin,Nature,Family,Sub family,Biological Activity,References,References_
C=C1C[C@H](O)[C@H](Br)[C@](C)(C)[C@@]12CC/C(C)=C(Cl)\C2,elatol,0.45,,C15H22BrClO,333.6916,aurencia dendroidea,natural,Terpene,sesquiterpene,active,"10.1021/cr400552x; 
    10.1055/s-0030-1250526",
CC(=O)OCC3C(=O)O/C2=C/[C@]1(C)CC[C@@](O)(O1)[C@](C)(O)C[C@H](OC(C)=O)C23,"(+)-8,13-diacetyl-piptocarphol",0.2,,C19H26O9,398.408,Pseudelephantopus spicatus,natural,Terpene,sesquiterpene lactone,inactive,10.1021/cr400552x,
CCOCC3C(=O)O/C2=C/[C@]1(C)CC[C@@](O)(O1)[C@](C)(O)C[C@H](OC(C)=O)C23,(+)-8-acetyl-13-O-ethyl-piptocarphol,0.37,,C19H28O8,384.425,Pseudelephantopus spicatus,natural,Terpene,sesquiterpene lactone,active,10.1021/cr400552x    ,
C/C=C(/C)\C(=O)O[C@H]1[C@@H]2[C@@H](C/C(=C\CC(=O)[C@]([C@@H]1OC(=O)C)(C)O)/C)OC(=O)C2=C   ,calealactone D,4.5,,C22H28O8,420.453,Calea zacatechichi,natural,Terpene,"germacranolide,sesquiterpene",active,"10.1021/cr400552x; 
    10.1055/s-0030-1250584",
C=C(C)C(=O)OC2[C@@H](COC(C)=O)[C@@](C)(O)C(=O)C/C=C(C)\CC1OC(=O)C(=C)[C@@H]12,calealactone C,1.9,,C22H28O8,420.458,Calea zacatechichi,natural,Terpene,"germacranolide,sesquiterpene",active,"10.1021/cr400552x; 
    10.1055/s-0030-1250584",
C=C(C)C(=O)O[C@@H]2C(OC(C)=O)[C@H]1C(=C)C(=O)OC1C[C@@H](C)/C=C\C(=O)[C@]2(C)O,calein D,2.2,,C21H26O8,406.431,Calea zacatechichi,natural,Terpene,"sesquiterpene,germacranolide",active,"10.1021/cr400552x; 
    10.1055/s-0030-1250584",
C=C1C(=O)OC2C[C@@H](C)/C=C\C(=O)[C@](C)(O)[C@H](OC(=O)/C(C)=C\C)C(OC(C)=O)[C@@H]12,calein A,4,,C22H28O8,420.458,Calea zacatechichi,natural,Terpene,"sesquiterpene,germacranolide",active,"10.1021/cr400552x; 
    10.1055/s-0030-1250584",
c1cc2ccc3cc4c(c5c3c2c(c1)cc5)[C@H]([C@@H]([C@@H]([C@H]4O)O)O)Nc6c7c(ncn6)n(cn7)[C@H]8C[C@@H]([C@H](O8)COP(=O)([O-])[O-])O,"calealactone E 
",8.5,,C30H26N5O9P-2,631.538,Calea zacatechichi,natural,Terpene,"sesquiterpene,germacrolide",active,"10.1021/cr400552x; 
    10.1055/s-0030-1250584",
C=C2C(=O)OC3C[C@@H](C)/C1=C\C(=O)[C@@](C)(O1)[C@H](OC(C)=O)[C@@H](OC(=O)/C(C)=C\C)[C@@H]23,8beta-angeloxy-9alpha acetyloxycalyculatolide,3.8,,C22H26O8,418.442,Calea zacatechichi,natural,Terpene,"sesquiterpene,germacrolide",active,"10.1021/cr400552x; 
    10.1055/s-0030-1250584",
C[C@]1([C@@]2(C(=C)C[C@@H]([C@@H]1Br)O)C[C@H]([C@@](CC2)(Br)C)Cl)C,obtusol,,6.2,C15H23Br2ClO,414.603,"the Brazilian red alga,Laurencia dendroidea",natural,Terpene,sesquiterpene,active,10.1021/cr400552x ,  10.1055/s-0030-1250526
C[C@]1([C@@]2(C(=C)C[C@@H]([C@@H]1Br)O)C[C@H]([C@@](CC2)(Br)C)Cl)C,obtusol,,133.5 / 139.3,C15H23Br2ClO,414.603,"the Brazilian red alga,Laurencia dendroidea",natural,Terpene,sesquiterpene,active,10.1021/cr400552x ,  10.1055/s-0030-1250526
C[C@]1([C@@]2(C(=C)C[C@@H]([C@@H]1Br)O)C[C@H]([C@@](CC2)(Br)C)Cl)C,obtusol,,3.9,C15H23Br2ClO,414.603,"the Brazilian red alga,Laurencia dendroidea",natural,Terpene,sesquiterpene,active,10.1021/cr400552x ,  10.1055/s-0030-1250526
[H][C@@H]2CC[C@@]1([H])/C(C)=C\CC[C@]1([H])[C@@]2([H])CC(=O)CC(=C)CC(=O)O,"(5R,8R,9S,10R)-12-oxo-ent-3,13(16)-clerodien-15-oic acid",,,C18H26O3,290.403,Premna schimperi and P. oligotricha,natural,Terpene,clerodane diterpene,active,10.1021/cr400552x,
[H][C@]12CC/C=C(C)\[C@]1(C)CC[C@@H](C)[C@]2(C)CC/C3=C/C(=O)O[C@@H]3O,"16-hydroxy-clerod-3,13(14)-diene-15,16-olide",,,C20H30O3,318.457,Premna schimperi and P. oligotricha,natural,Terpene,clerodane diterpene,active,10.1021/cr400552x,
[H][C@]12CCC[C@](C)(C)[C@]1(C)CC/C(C)=C2/CC(=O)C(=C)CC(=O)O,"ent-12-oxolabda-8,13(16)-dien-15-oic acid",,,C20H30O3,318.457,Premna schimperi and P. oligotricha,natural,Terpene,clerodane diterpene,active,10.1021/cr400552x,
CC(CCO)CC[C@@]1(C)[C@H](C)CC[C@@]2(C)C1CCC=C2CO,"cistadiol 
",,,C20H36O2,308.506,Cistus monspeliensis,natural,Terpene,clerodane-type diterpene,inactive,10.1021/cr400552x,
C[C@@H]1CC[C@]2(C([C@@]1(C)CCC(C)CCO)CCC=C2COC(=O)C)C,18-acetoxy-cis-clerod-3-en-15-ol,,3.3,C22H38O3,350.535,Cistus monspeliensis,natural,Diterpene,clerodane-type diterpene,active,10.1021/cr400552x,
O=C(OCC\1=C\CC[C@H]2[C@@]/1(CC[C@@H](C)[C@]2(C)CCC(C)CCOC(=O)C)C)C,"15,18-diacetoxy-cis-clerod-3-ene",9.7,,C24H40O4,392.572,Cistus monspeliensis,natural,diterpene,clerodane-type diterpene,active,"10.1021/cr400552x;10.1016/j.bmc.2013.11.048
",
O=C(OCC\1=C\CC[C@H]2[C@@]/1(CC[C@@H](C)[C@]2(C)CCC(C)CCOC(=O)C)C)C,"15,18-diacetoxy-cis-clerod-3-ene",,,C24H40O4,392.572,Cistus monspeliensis,natural,diterpene,clerodane-type diterpene,inactive,"10.1021/cr400552x;10.1016/j.bmc.2013.11.048
",
CC1CCC2(C(C1(C)CCC(C)CCOC(=O)C)CCC=C2CO)C,15-acetoxy-cis-clerod-3-en-18-ol,,,C22H38O3,350.535,Cistus monspeliensis,natural,diterpene,clerodane-type diterpene,inactive,10.1021/cr400552x,
CC(CC[C@@]1(C)[C@H](C)CC[C@@]2(C)C1CCC=C2COC(C)=O)C(O)=O,18-acetoxy-cis-clerod-3-en-15-oic acid,10.98,,C22H36O4,364.5188,Cistus monspeliensis,natural,diterpene,clerodane-type diterpene,active,"10.1021/cr400552x;10.1016/j.bmc.2013.11.048
",
CC(CC[C@@]1(C)[C@H](C)CC[C@@]2(C)C1CCC=C2COC(C)=O)C(O)=O,18-acetoxy-cis-clerod-3-en-15-oic acid,,,C22H36O4,364.5188,Cistus monspeliensis,natural,diterpene,clerodane-type diterpene,inactive,"10.1021/cr400552x;10.1016/j.bmc.2013.11.048
",
CC(CCOC(C)=C)CC[C@@]1(C)[C@H](C)CC[C@@]2(C)C1CCC=C2C=O,15-acetoxy-cis-clerod-3-en-18-al,,,C23H38O2,346.555,Cistus monspeliensis,natural,diterpene,clerodane-type diterpene,inactive,10.1021/cr400552x,
O=C/C1=C/CC[C@H]2[C@@]1(CC[C@@H](C)[C@]2(C)CCC(C)CCO)C,15-hydroxy-cis-clerod-3-en-18-al,,,C20H34O2,306.483,Cistus monspeliensis,natural,diterpene,clerodane-type diterpene,inactive,10.1021/cr400552x,
C=C[C@@]3(C)CC[C@@H]2[C@](C)(CCC1[C@@](C)(C)[C@H](OC(C)=O)CC[C@]12C)O3,ent-3beta-acetoxy-13-epi-manoyl oxide,,,C22H36O3,348.527,Cistus creticus,natural,diterpene,labdane-type diterpene,inactive,10.1021/cr400552x,
C/C(=C\CO)CC[C@H]1/C=C\CC2[C@@](C)(C)CCC[C@]12C,"13(E)-labda-7,13-diene-15-ol 
",,,C19H32O,276.464,Cistus monspeliensis,natural,diterpene,clerodane-type diterpene,inactive,10.1021/cr400552x,
C/C(=C\CO)CC[C@H]2[C@](C)(O)CCC1[C@@](C)(C)CCC[C@@]12C,"13(E)-labd-13-en-8alpha,15-diol",,,C20H36O2,308.506,Cistus monspeliensis,natural,diterpene,clerodane-type diterpene,inactive,10.1021/cr400552x,
CC(C)c1c(ccc2c1CC[C@@H]3[C@@]2(CCCC3(C)C)C)O,totarol,,3.5-4.6,C20H30O,286.452,Juniperus procera,natural,Terpene,diterpene,active,10.1021/cr400552x,
CC(C)c1cc2c(cc1O)[C@]3(CCCC([C@@H]3CC2)(C)C)C,ferruginol,,3.5-4.6,C20H30O,286.452,Juniperus procera,natural,Terpene,diterpene,active,10.1021/cr400552x,
[H][C@]12CCCC(C)(C)[C@]1([H])C[C@H](O)c1cc(C(C)C)c(=O)c(=O)c21,"7beta-hydroxyabieta-8,13-diene-11,12-dione",,3.5-4.6,C19H26O3,302.414,Juniperus procera,natural,Terpene,diterpene,active,10.1021/cr400552x,
Cc1c2c(cc3c1C(=O)C=C(C3=O)C(C)C)C(CCC2)(C)C,"12,16-dideoxy aegyptinone B",,0.75,C20H24O2,296.403,Zhumeria majdae,natural,terpene,diterpene,active,10.1021/cr400552x,
CCc1ccoc1.C[C@@H]3CC[C@@]/12COC(=O)C1=C\CCC2[C@@]3(C)C,hautriwaic acid lactone,,7,C21H30O3,330.468,Baccharis dracunculifolia,natural,Terpene,diterpene,active,10.1021/cr400552x,
C[C@H]1COC2=C1C(=O)C(=O)c3c2ccc4c3CCCC4(C)C,"cryptotanshinone 
",,18.4,C19H20O3,296.36,Perovskia abrotanoides,natural,Terpene,"diterpenoid 1,2-quinones",active,10.1021/cr400552x,
CC(C)c3cc2ccc1c(C(=O)CC[C@]1(C)C)c2c(=O)c3=O,"1-oxomiltirone 
",,17.9,C19H20O3,296.366,Perovskia abrotanoides,natural,Terpene,"diterpenoid 1,2-quinone",active,10.1021/cr400552x,
CC1=C(C(=O)C=C2C1=CC=C3[C@]2(CC[C@@]4([C@@]3(CC[C@@]5([C@H]4C[C@](CC5)(C)C(=O)OC)C)C)C)C)O,pristimerin,,6.4,C30H40O4,464.636,Maytenus senegalensis,natural,triterpene,quinone methide triterpene,active,10.1021/cr400552x,
CC1=C(C(=O)C=C2C1=CC=C3[C@]2(CC[C@@]4([C@@]3(CC[C@@]5([C@H]4C[C@](CC5)(C)C(=O)OC)C)C)C)C)O,pristimerin,,6.8,C30H40O4,464.636,Maytenus senegalensis,natural,triterpene,quinone methide triterpene,active,10.1021/cr400552x,
CC1=C(C(=O)C=C2C1=CC=C3[C@]2(CC[C@@]4([C@@]3(CC[C@@]5(C4CC(=C)CC5)C)C)C)C)O,isoiguesterin,0.198,,C28H36O2,404.584,Salacia madagascariensis,natural,triterpene,bisnortriterpene,active,10.1021/cr400552x,
CC1=C(C(=O)C=C2C1=CC=C3[C@]2(CC[C@@]4([C@@]3(CC[C@@]5([C@H]4C[C@H](CC5)CO)C)C)C)C)O,20-epi-isoiguesterinol,0.079,,C28H38O3,422.599,Salacia madagascariensis,natural,triterpene,bisnortriterpene,active,10.1021/cr400552x,
[H][C@@]45CC[C@@]3(C)/C2=C/C[C@@]1(C)CC[C@](C)(C)C[C@@]1([H])[C@]2(C)CC[C@]3([H])[C@@]4(C)CCC(=O)[C@]5(C)C,taraxerone,,3.8,C30H48O,424.702,the fruits of Dregea volubilis Benth (Asclepiadaceae),natural,triterpene,pentacyclic triterpenoid,active,10.1021/cr400552x,
C[C@@H]1C(=CCC2([C@H]1C3[C@@](CC2)(C4([C@@H](C5([C@H]([C@@](C([C@@H](C5)O)OC6O[C@@H]([C@H]([C@@H]([C@H]6OC7O[C@@H]([C@H]([C@@H]([C@H]7O)O)O)CO)O)O)CO)(C)C)CC4)C)CC3)C)C)C(=O)O)C,arborenin,,,C42H68O14,796.992,Careya arborea,natural,saponin,Triterpenoid saponin,inactive,10.1021/cr400552x,
"C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@@H]([C@H]([C@@H](O[C@H]2O[C@@H]3[C@H]([C@H]([C@H](O[C@H]3O[C@H]4[C@@H]([C@H](O[C@H]([C@@H]4O[C@H]5[C@@H]([C@H]([C@H]([C@H](O5)CO)O)O)O)[C@H]6CC[C@@]7([C@H]8CC[C@]91[C@@H]2CC([C@H]([C@@H]([C@@]2([C@@H](C[C@]9([C@@]8(CC[C@H]7C6(C)C)C)C)O)[C@H](O1)O)OC(=O)/C=C\C1=CC=CC=C1)OC(=O)C1=CC=CC=C1)(C)C)C)C(=O)O)O)CO)O)O)C)O)O)O)O)O
",maesabalide I,,0.07,C76H108O31,1517.669,Maesa balansae,natural,saponin,pentacyclic triterpene saponin,active,10.1021/cr400552x,
"C/C=C(/C)\C(=O)O[C@H]1[C@@H]([C@]23[C@@H](C[C@]4([C@@]5(CC[C@@H]6[C@@]([C@H]5CC[C@@]4([C@@H]2CC1(C)C)O[C@@H]3O)(CC[C@@H](C6(C)C)[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)C(=O)O)O)O[C@H]8[C@@H]([C@H]([C@H]([C@H](O8)CO)O)O)O[C@H]9[C@@H]([C@@H]([C@H]([C@@H](O9)C)O)O)O[C@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)C)O)O)O)O[C@H]1[C@@H]([C@H]([C@H]([C@H](O1)CO)O)O)O)C)C)C)O)OC(=O)/C=C\C1=CC=CC=C1
",maesabalide II,,0.05,C74H110O31,1495.663,Maesa balansae,natural,saponin,pentacyclic triterpene saponin,active,10.1021/cr400552x,
"C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@@H]([C@H]([C@@H](O[C@H]2O[C@@H]3[C@H]([C@H]([C@H](O[C@H]3O[C@H]4[C@@H]([C@H](O[C@H]([C@@H]4O[C@H]5[C@@H]([C@H]([C@H]([C@H](O5)CO)O)O)O)[C@H]6CC[C@@]7([C@H]8CC[C@]91[C@@H]2CC([C@H]([C@@H]([C@@]2([C@@H](C[C@]9([C@@]8(CC[C@H]7C6(C)C)C)C)O)[C@H](O1)O)OC(=O)/C=C/C1=CC=CC=C1)OC(=O)C1=CC=CC=C1)(C)C)C)C(=O)O)O)CO)O)O)C)O)O)O)O)O
",maesabalide III,,>32,C76H108O31,1517.669,Maesa balansae,natural,saponin,pentacyclic triterpene saponin,active,10.1021/cr400552x,
"C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@@H]([C@H]([C@@H](O[C@H]2O[C@@H]3[C@H]([C@H]([C@H](O[C@H]3O[C@H]4[C@@H]([C@H](O[C@H]([C@@H]4O[C@H]5[C@@H]([C@H]([C@H]([C@H](O5)CO)O)O)O)[C@H]6CC[C@@]7([C@H]8CC[C@]91[C@@H]2CC([C@H]([C@@H]([C@@]2([C@@H](C[C@]9([C@@]8(CC[C@H]7C6(C)C)C)C)O)[C@H](O1)O)OC(=O)/C=C/C1=CC=CC=C1)OC(=O)C1=CC=CC=C1)(C)C)C)C(=O)O)O)CO)O)O)C)O)O)O)O)O
",maesabalide III,,0.02,C76H108O31,1517.669,Maesa balansae,natural,saponin,pentacyclic triterpene saponin,active,10.1021/cr400552x,
"C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@@H]([C@H]([C@@H](O[C@H]2O[C@@H]3[C@H]([C@H]([C@H](O[C@H]3O[C@H]4[C@@H]([C@H](O[C@H]([C@@H]4O[C@H]5[C@@H]([C@H]([C@H]([C@H](O5)CO)O)O)O)[C@H]6CC[C@@]7([C@H]8CC[C@]91[C@@H]2CC([C@H]([C@@H]([C@@]2([C@@H](C[C@]9([C@@]8(CC[C@H]7C6(C)C)C)C)O)[C@H](O1)O)OC(=O)/C=C/C1=CC=CC=C1)OC(=O)C1=CC=CC=C1)(C)C)C)C(=O)O)O)CO)O)O)C)O)O)O)O)O
",maesabalide III,,,C76H108O31,1517.669,Maesa balansae,natural,saponin,pentacyclic triterpene saponin,inactive,10.1021/cr400552x,
C/C=C(/C)\C(=O)O[C@H]1[C@@H]([C@]23[C@@H](C[C@]4([C@@]5(CC[C@@H]6[C@@]([C@H]5CC[C@@]4([C@@H]2CC1(C)C)O[C@@H]3O)(CC[C@@H](C6(C)C)[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)C(=O)O)O)O[C@H]8[C@@H]([C@H]([C@H]([C@H](O8)CO)O)O)O[C@H]9[C@@H]([C@@H]([C@H]([C@@H](O9)C)O)O)O[C@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)C)O)O)O)O[C@H]1[C@@H]([C@H]([C@H]([C@H](O1)CO)O)O)O)C)C)C)O)OC(=O)/C=C/C1=CC=CC=C1,maesabalide IV,,>32,C74H110O31,1495.663,Maesa balansae,natural,saponin,pentacyclic triterpene saponin,active,10.1021/cr400552x,
C/C=C(/C)\C(=O)O[C@H]1[C@@H]([C@]23[C@@H](C[C@]4([C@@]5(CC[C@@H]6[C@@]([C@H]5CC[C@@]4([C@@H]2CC1(C)C)O[C@@H]3O)(CC[C@@H](C6(C)C)[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)C(=O)O)O)O[C@H]8[C@@H]([C@H]([C@H]([C@H](O8)CO)O)O)O[C@H]9[C@@H]([C@@H]([C@H]([C@@H](O9)C)O)O)O[C@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)C)O)O)O)O[C@H]1[C@@H]([C@H]([C@H]([C@H](O1)CO)O)O)O)C)C)C)O)OC(=O)/C=C/C1=CC=CC=C1,maesabalide IV,,0.02,C74H110O31,1495.663,Maesa balansae,natural,saponin,pentacyclic triterpene saponin,active,10.1021/cr400552x,
C/C=C(/C)\C(=O)O[C@H]1[C@@H]([C@]23[C@@H](C[C@]4([C@@]5(CC[C@@H]6[C@@]([C@H]5CC[C@@]4([C@@H]2CC1(C)C)O[C@@H]3O)(CC[C@@H](C6(C)C)[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)C(=O)O)O)O[C@H]8[C@@H]([C@H]([C@H]([C@H](O8)CO)O)O)O[C@H]9[C@@H]([C@@H]([C@H]([C@@H](O9)C)O)O)O[C@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)C)O)O)O)O[C@H]1[C@@H]([C@H]([C@H]([C@H](O1)CO)O)O)O)C)C)C)O)OC(=O)/C=C/C1=CC=CC=C1,maesabalide IV,,,C74H110O31,1495.663,Maesa balansae,natural,saponin,pentacyclic triterpene saponin,inactive,10.1021/cr400552x,
"C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@@H]([C@H]([C@@H](O[C@H]2O[C@@H]3[C@H]([C@H]([C@H](O[C@H]3O[C@H]4[C@@H]([C@H](O[C@H]([C@@H]4O[C@H]5[C@@H]([C@H]([C@H]([C@H](O5)CO)O)O)O)[C@H]6CC[C@@]7([C@H]8CC[C@]91[C@@H]2CC([C@H]([C@@H]([C@@]2([C@@H](C[C@]9([C@@]8(CC[C@H]7C6(C)C)C)C)OC(=O)C)[C@H](O1)O)OC(=O)/C=C/C1=CC=CC=C1)OC(=O)C1=CC=CC=C1)(C)C)C)C(=O)O)O)CO)O)O)C)O)O)O)O)O
",maesabalide V,,3.4,C78H110O32,1559.706,Maesa balansae,natural,saponin,pentacyclic triterpene saponin,active,10.1021/cr400552x,
c1ccc(cc1)c2c(c(n(n2)c3ccccc3)C(=O)[O-])C(=O)[O-],maesabalide VI,,0.7,C17H12N2O4,308.288,Maesa balansae,natural,saponin,pentacyclic triterpene saponin,active,10.1021/cr400552x,
"CC1C(C(C(C(O1)OC2C(C(COC2OC3CCC4(C(C3(C)C)CC=C5C4CC(C67C5(CCC6C(OC7=O)(C)CCC=C(C)C)C)O)C)OS(=O)(=O)[O-])O)O)O)OC8C(C(C(C(O8)CO)O)OC9C(C(C(C(O9)CO)O)OC)O)O.[Na+]
",Neothyoside C,,,C54H85NaO25S,1189.306,the body walls of the sea cucumber Neothyone gibbosa,natural,saponin,a lanostane-type triterpene saponin,inactive,"10.1021/cr400552x

",
CCCCCCCCCCCCC(C1CCC(O1)C(CCCCC(CCCCCC2CC(C(=O)O2)CC(=O)C)O)O)O,isoannonacin,4.7-23.3,,C35H64O7,596.878,Annonaceae,natural,acetogenin,,active,"10.1021/cr400552x


",
CCCCCCCCCCCCC(C1CCC(O1)C(CCCCC(CCCCCC2CC(C(=O)O2)CC(=O)C)O)O)O,isoannonacin,6.2,,C35H64O7,596.878,Annonaceae,natural,acetogenin,,active,"10.1021/cr400552x


",
CCCCCCCCCCCCC(C1CCC(O1)C(CCCCC(CCCCCC2CC(C(=O)O2)CC(=O)C)O)O)O,isoannonacin,,,C35H64O7,596.878,Annonaceae,natural,acetogenin,,inactive,"10.1021/cr400552x


",
CCCCCCCCCCCC(O)C1CCC(O1)C(O)CCCC(O)CCCC(O)CC1CC(C)OC1=O,"2,33-dihydroannonacin
",4.7-23.3,,C31H58O7,542.798,Annonaceae,natural,acetogenin,,active,"10.1021/cr400552x

",
CCCCCCCCCC(O)C1CCC(O1)C1CCC(O1)C(O)CCCCCCCCC1CC(CC(C)=O)C(=O)O1,isorolliniastatin-1,4.7-23.3,,C34H60O7,580.847000000001,,natural,acetogenin,,active,"10.1021/cr400552x

",
"CCCCCCC(CCCC(C1CCC(O1)C2CCC(O2)C(CCCCCCCCCC(CCC3=CC(OC3=O)C)O)O)O)O
",panalicin,4.7-23.3,,C37H66O8,638.927000000001,Annonaceae plant family,natural,Acetogenin,,active,10.1021/cr400552x,
"CCCCCCCCCCC(C1CCC(O1)C2CCC(O2)C(CCCCCCCCCC(CCC3=CC(OC3=O)C)O)O)O
",narumicin-1,4.7-23.3,,C37H66O7,622.928000000001,Annonaceae plant family,natural,Acetogenin,,active,0.1021/cr400552x,
"CCCCCCCCCCC(C1CCC(O1)C2CCC(O2)C(CCCCCCCCCC(CCC3=CC(OC3=O)C)O)O)O
",narumicin-1,2.5-29.7,,C37H66O7,622.928000000001,Annonaceae plant family,natural,Acetogenin,,active,0.1021/cr400552x,
[H]C(CCCCCC)CCCC(O)C1CCC(O1)C1CCC(O1)C(O)CCCCCCCCCC(O)CCC1=CC(C)OC1=O,narumicin-2,4.7-23.3,,C37H66O7,622.928,Annonaceae,natural,acetogenin,,active,"10.1021/cr400552x

",
[H]C(CCCCCC)CCCC(O)C1CCC(O1)C1CCC(O1)C(O)CCCCCCCCCC(O)CCC1=CC(C)OC1=O,narumicin-2,2.5-29.7,,C37H66O7,622.928,Annonaceae,natural,acetogenin,,active,"10.1021/cr400552x

",
CCCC(CCC(CCC(C1CCC(O1)C2CCC(O2)C(CCCCCCCCCCCCCC3=CC(OC3=O)C)O)O)O)O,cherimolin,4.7-23.3,,C37H66O8,638.927000000001,Annonaceae,natural,acetogenin,,active,"10.1021/cr400552x

",
CCCC(CCC(CCC(C1CCC(O1)C2CCC(O2)C(CCCCCCCCCCCCCC3=CC(OC3=O)C)O)O)O)O,cherimolin,2.5-29.7,,C37H66O8,638.927000000001,Annonaceae,natural,acetogenin,,active,"10.1021/cr400552x

",
"CC[C@H](C)[C@@H](C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)O[C@@H]([C@@H](C)CC)C(=O)N1CCC[C@H]1C(=O)OC)N(C)C(=O)CCCC(CCCC#C)OC
",viridamide A,1.5,,C46H79N5O10,862.163,Oscillatoria nigrowiridis,natural,peptide,,active,"10.1021/cr400552x

",
"CCCC(=O)N[C@@H](CCC(=O)N)C(=O)N[C@H]1[C@H](OC(=O)[C@@H](NC(=O)[C@@H](N(C(=O)[C@@H](N2[C@@H](CC[C@@H](C2=O)NC(=O)[C@@H](NC1=O)CCCNC(=O)N)O)[C@@H](C)CC)C)CC3=CC(=C(C=C3)OC)Br)C(C)C)C
",symplocamide A,9.5,,C46H71BrN10O13,1052.035,"marine cyanobacterium, Symploca sp",natural,peptide,,active,"10.1021/cr400552x

",
CN([C@H](Cc1ccccc1)C(=O)N[C@@H]2CCCCNC2=O)C(=O)CCCCCCCC=C,Ciliatamide A,22.65,,C26H39N3O3,441.616,Aaptos ciliate,natural,peptide,,active,"10.1021/cr400552x;10.1016/j.bmc.2013.11.048;10.1021/np8000317

",
CCCCCCCC(=O)N(C)[C@@H](Cc1ccccc1)C(=O)N[C@H]2CCCCNC2=O,Ciliatamide B,24.07,,C24H37N3O3,415.578,Aaptos ciliate,natural,peptide,,active,"10.1021/cr400552x;10.1016/j.bmc.2013.11.048;10.1021/np8000317

",
C[C@@H](CCCCC#C)C(=O)N(C)[C@@H](C(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N(C)[C@@H](CC1=CC=CC=C1)C(=O)N,"dragonamide A
",6.5,,C37H59N5O5,653.909,Lyngbya majuscula,natural,peptide,,active,10.1021/cr400552x , 10.1016/j.bmc.2013.11.048 
C[C@@H](CCCCC#C)C(=O)N(C)[C@@H](C(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N,dragonamide E,5.1,,C33H59N5O5,605.865,Lyngbya majuscula,natural,peptide,,active,"10.1021/cr400552x ; 10.1016/j.bmc.2013.11.048 ; 10.1021/np900622m

",
"C[C@@H](C/C=C/C=C(\C)/C(=O)N[C@H](C1=NC=CS1)C(C)C)C(Cl)(Cl)Cl
",herbamide B,5.9,,C17H23Cl3N2OS,409.81,Lyngbya majuscula,natural,peptide,,active,"10.1021/cr400552x ; 10.1016/j.bmc.2013.11.048 ; 10.1021/np900622m
",
C[C@H]([C@H]1C(=O)N[C@H](C2=N[C@@H](CS2)C(=O)N[C@H](C(=O)N[C@H](C(=O)N3CCC[C@H]3C(=O)N1)Cc4ccccc4)C(C)C)C(C)C)OC(C)(C)C=C,mollamide B,,,C36H52N6O6S,696.915,Indonesian tunicate Didemnum molle,natural,peptide,the cyclic hexapeptide,inactive,"10.1021/cr400552x
",
"CC[C@H](C)[C@@H](C(=O)O[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C)/C=C/C(=O)N1[C@H](C(=CC1=O)OC)C)N(C)C
",gallinamide A,9.3,,C31H52N4O7,592.778,Schizothrix sp,natural,peptide,,active,"10.1021/cr400552x
",
O=C1/C=C\[C@]34Oc5ccc(O)c6C(=O)CC[C@@](Oc2cccc1c23)(O4)c56,preussomerin EG 1,9,,C20H12O6,348.31,fungus Edenia sp,natural,palmarumycin,,active,"10.1021/cr400552x
",
O=C1/C=C\[C@]34Oc5ccc(O)c6C(=O)CC[C@@](Oc2cccc1c23)(O4)c56,preussomerin EG 1,0.12,,C20H12O6,348.31,fungus Edenia sp,natural,palmarumycin,,active,"10.1021/cr400552x
",
O=C4CC[C@@]1(Oc2cccc3cccc(O1)c23)c5cccc(O)c45,palmarumycin CP 2,0.12-8.40,,C20H14O4,318.328,fungus Edenia sp,natural,palmarumycin,,active,"10.1021/cr400552x

",
O=C4CC[C@@]1(Oc2cccc3cccc(O1)c23)c5c(O)ccc(O)c45,palmarumycin CP 17,174,,C20H14O5,334.327,fungus Edenia sp,natural,palmarumycin,,active,"10.1021/cr400552x

",
O=C4CC[C@@]1(Oc2cccc3cccc(O1)c23)c5c(O)ccc(O)c45,palmarumycin CP 17,0.12-8.40,,C20H14O5,334.327,fungus Edenia sp,natural,palmarumycin,,active,"10.1021/cr400552x

",
