,ID_compound,SMILES,Common name,Biological Activity,Pathogen,Category,IC50 (µM),IC50(µg/ml),% Inhibition,Tested at [C],Molecular Weight,Origin,Formula,Reference,PUBCHEM_CID
1300,1301,COc6ccc(CC(Nc3ccc(C2(C)NC(=O)c1ccccc1N2)cc3)c4nnnn4CC5CCCCC5)cc6,"quinazolinone,tetrazole hybrid",Inactive,Leishmania,,,,,,551.7,,C32H37N7O2,10.1021/jm400053v,0
1301,1302,CC6(c4ccc(NC(Cc1ccc(Cl)cc1)c2nnnn2CC3CCCCC3)cc4)NC(=O)c5ccccc5N6,"quinazolinone,tetrazole hybrid",Inactive,Leishmania,,,,,,556.11,,C31H34ClN7O,10.1021/jm400053v,0
1302,1303,CC6(c4ccc(NC(Cc1ccc(Br)cc1)c2nnnn2CC3CCCCC3)cc4)NC(=O)c5ccccc5N6,"quinazolinone,tetrazole hybrid",Inactive,Leishmania,,,,,,600.57,,C31H34BrN7O,10.1021/jm400053v,0
1303,1304,CC(C)(C)Cn1nnnc1C(CNCc2ccccc2)c5ccc(C4NC(=O)c3ccccc3N4)cc5,"quinazolinone,tetrazole hybrid",Inactive,Leishmania,,,,,,495.63,,C29H33N7O,10.1021/jm400053v,0
1304,1305,CCCCCNCC(c3ccc(C2NC(=O)c1ccccc1N2)cc3)c4nnnn4CC(C)(C)C,"quinazolinone,tetrazole hybrid",Inactive,Leishmania,,,,,,475.64,,C27H37N7O,10.1021/jm400053v,0
1305,1306,CCCCNCC(c3ccc(C2NC(=O)c1ccccc1N2)cc3)c4nnnn4CC(C)(C)C,"quinazolinone,tetrazole hybrid",Inactive,Leishmania,,,,,,461.61,,C26H35N7O,10.1021/jm400053v,0
1306,1307,CN6CCc5cc(C(c3ccc(C2NC(=O)c1ccccc1N2)cc3)c4nnnn4CC(C)(C)C)ccc5C6,"quinazolinone,tetrazole hybrid",Inactive,Leishmania,,,,,,521.67,,C31H35N7O,10.1021/jm400053v,0
1307,1308,C1=C(NC(=C1Br)Br)C(=O)NCCCCNCCCNC(=O)C2=CC(=C(N2)Br)Br,pseudoceratidine,Inactive,Leishmania,,,,,,647.0,the sponge Tedania brasiliensis,C17H21Br4N5O2,10.1021/acs.jnatprod.7b00876,0
1308,1309,CC(=O)c1c(Br)c(Br)[nH]c1C(=O)NCCCCN(CCCNC(=O)c2[nH]c(Br)c(Br)c2C(C)=O)C(C)=O,N 12 -Acetylpseudoceratidine,Inactive,Leishmania,,,,,,773.12,,C23H27Br4N5O5,10.1021/acs.jnatprod.7b00876,0
1309,1310,c1cc([nH]c1C(=O)NCCCCNCCCNC(=O)c2cc(c([nH]2)Br)Br)Br,3-debromopseudoceratidine,Inactive,Leishmania,,,,,,568.1,"ponge
Tedania brasiliensis",C17H22Br3N5O2,10.1021/acs.jnatprod.7b00876,0
1310,1311,c1cc([nH]c1C(=O)NCCCNCCCCNC(=O)c2cc(c([nH]2)Br)Br)Br,20-debromopseudoceratidine,Inactive,Leishmania,,,,,,568.1,"ponge
Tedania brasiliensis",C17H22Br3N5O2,10.1021/acs.jnatprod.7b00876,0
1311,1312,COC1(C=C(NC1=O)C(=O)NCCCNCCCCNC(=O)c2cc(c([nH]2)Br)Br)Br,tedamide A,Inactive,Leishmania,,,,,,614.13,"ponge
Tedania brasiliensis",C18H24Br3N5O4,10.1021/acs.jnatprod.7b00876,0
1312,1313,COC1(C=C(NC1=O)C(=O)NCCCCNCCCNC(=O)c2cc(c[nH]2)Br)Br,tedamide B,Inactive,Leishmania,,,,,,535.23,"ponge
Tedania brasiliensis",C18H25Br2N5O4,10.1021/acs.jnatprod.7b00876,0
1313,1314,CN(CCCCNC(=O)c1cc(Br)c(Br)[nH]1)CCCNC(=O)c2cc(Br)c(Br)[nH]2,N-Methylpseudoceratidine,Inactive,Leishmania,,,,,,661.03,,C18H23Br4N5O2,10.1021/acs.jnatprod.7b00876,0
1314,1315,Brc1cc([nH]c1Br)C(=O)NCCCCN(CCCNC(=O)c1cc(Br)c(Br)[nH]1)C(=O)CN=[N+]=[N-],pseudoceratidine derivative,Inactive,Leishmania,,,,,,730.05,,C19H22Br4N8O3,10.1021/acs.jnatprod.7b00876,0
1315,1316,BrC1=C(Br)C=C(N1)C(=O)NCCCCCCCCNC(=O)c1cc(Br)c(Br)[nH]1,pseudoceratidine derivative,Inactive,Leishmania,,,,,,646.02,,C18H22Br4N4O2,10.1021/acs.jnatprod.7b00876,0
1316,1317,O=C(NCCCCCCNCCCCCCNC(=O)c1cc(Br)c(Br)[nH]1)c2cc(Br)c(Br)[nH]2,pseudoceratidine derivative,Inactive,Leishmania,,,,,,717.14,,C22H31Br4N5O2,10.1021/acs.jnatprod.7b00876,0
1317,1318,O=C(NCCCCCNC(=O)c1ccc[nH]1)c2ccc[nH]2,pseudoceratidine derivative,Inactive,Leishmania,,,,,,288.35,,C15H20N4O2,10.1021/acs.jnatprod.7b00876,0
1318,1319,O=C(NCCCCNCCCNC(=O)c1ccc[nH]1)c2ccc[nH]2,debrominated pseudoceratidin,Inactive,Leishmania,,,,,,331.42,,C17H25N5O2,10.1021/acs.jnatprod.7b00876,0
1319,1320,O=C(NCCCCNCCCNC(=O)c1cc(Br)c[nH]1)c2cc(Br)c[nH]2," 2,21-debromo-pseudoceratidine",Inactive,Leishmania,,,,,,489.21,,C17H23Br2N5O2,10.1021/acs.jnatprod.7b00876,0
1320,1321,O=C(NCCCCNCCCNC(=O)c1cc(Cl)c(Cl)[nH]1)c2cc(Cl)c(Cl)[nH]2,chlorinated version of pseudoceratidine,Inactive,Leishmania,,,,,,469.2,,C17H21Cl4N5O2,10.1021/acs.jnatprod.7b00876,0
1321,1322,O=C(NCCCCNCCCNC(=O)c1ccc(F)[nH]1)c2ccc(F)[nH]2,pseudoceratidine derivative,Inactive,Leishmania,,,,,,367.4,,C17H23F2N5O2,10.1021/acs.jnatprod.7b00876,0
1322,1323,O=C(NCCCCNCCCNC(=O)c2cc1ccccc1[nH]2)c4cc3ccccc3[nH]4,pseudoceratidine derivative,Inactive,Leishmania,,,,,,431.54,,C25H29N5O2,10.1021/acs.jnatprod.7b00876,0
1323,1324,O=C(NCCCCNCCCNC(=O)c2nc1ccccc1[nH]2)c4nc3ccccc3[nH]4,pseudoceratidine derivative,Inactive,Leishmania,,,,,,433.52,,C23H27N7O2,10.1021/acs.jnatprod.7b00876,0
1324,1325,Cc2ccc(C(=O)NCCCCNCCCNC(=O)c1ccc(C)s1)s2,pseudoceratidine derivative,Inactive,Leishmania,,,,,,393.58,,C19H27N3O2S2,10.1021/acs.jnatprod.7b00876,0
1325,1326,O=C(NCCCCNCCCNC(=O)c1cccc(Cl)n1)c2cccc(Cl)n2,pyridine derivatives,Inactive,Leishmania,,,,,,424.33,,C19H23Cl2N5O2,10.1021/acs.jnatprod.7b00876,0
1326,1327,Cc2cccc(C(=O)NCCCCNCCCNC(=O)c1cccc(C)n1)n2,pyridine derivatives,Inactive,Leishmania,,,,,,383.5,,C21H29N5O2,10.1021/acs.jnatprod.7b00876,0
1327,1328,Cc2ccc(C(=O)NCCCCNCCCNC(=O)c1ccc(C)o1)o2,bis-furans,Inactive,Leishmania,,,,,,361.44,,C19H27N3O4,10.1021/acs.jnatprod.7b00876,0
1328,1329,COc3ccc(c2cn(c1ccc(OC)cc1)nn2)cc3,"1,4-Bis(4-ethoxyphenyl)-1H-1,2,3-triazole",Inactive,Leishmania,,L. amazonensis : 123.3,,,,281.32,,C16H15N3O2,10.5935/0103-5053.20160017,0
1329,1330,COc3ccc(c2cn(c1ccc(OC)cc1)nn2)cc3,"1,4-Bis(4-ethoxyphenyl)-1H-1,2,3-triazole",Inactive,Leishmania,,L. infantum : >200,,,,281.32,,C16H15N3O2,10.5935/0103-5053.20160017,0
1330,1331,COc3cc(c2cn(c1cc(OC)c(OC)c(OC)c1)nn2)cc(OC)c3OC,"1,4-Bis(3,4,5-trimethoxyfenyl)-1H-1,2,3-triazole",Inactive,Leishmania,,L. amazonensis : >200,,,,401.42,,C20H23N3O6,10.5935/0103-5053.20160017,0
1331,1332,COc3cc(c2cn(c1cc(OC)c(OC)c(OC)c1)nn2)cc(OC)c3OC,"1,4-Bis(3,4,5-trimethoxyfenyl)-1H-1,2,3-triazole",Inactive,Leishmania,,L. infantum : >200,,,,401.42,,C20H23N3O6,10.5935/0103-5053.20160017,0
1332,1333,c2cc1OCOc1cc2c5cn(c4ccc3OCOc3c4)nn5,"1,4-Bis(1,3-benzodioxol-5-yl)-1H-1,2,3-triazole",Inactive,Leishmania,,L. amazonensis : 92.7,,,,309.28,,C16H11N3O4,10.5935/0103-5053.20160017,0
1333,1334,c2cc1OCOc1cc2c5cn(c4ccc3OCOc3c4)nn5,"1,4-Bis(1,3-benzodioxol-5-yl)-1H-1,2,3-triazole",Inactive,Leishmania,,L. infantum : >200,,,,309.28,,C16H11N3O4,10.5935/0103-5053.20160017,0
1334,1335,COc3ccc(c2cn(c1ccc(OC)c(OC)c1)nn2)cc3,"1-(3,4-Dimethoxyphenyl)-4-(4-methoxyphenyl)-1H-1,2,3- triazole ",Inactive,Leishmania,,L. amazonensis : 31.7,,,,311.34,,C17H17N3O3,10.5935/0103-5053.20160017,0
1335,1336,COc3ccc(c2cn(c1ccc(OC)c(OC)c1)nn2)cc3,"1-(3,4-Dimethoxyphenyl)-4-(4-methoxyphenyl)-1H-1,2,3- triazole ",Inactive,Leishmania,,L. infantum : >200,,,,311.34,,C17H17N3O3,10.5935/0103-5053.20160017,0
1336,1337,COc3ccc(c2cn(c1cc(OC)c(OC)c(OC)c1)nn2)cc3,"4-(4-Methoxyphenyl)-1-(3,4,5-trimethoxyphenyl)-1H-1,2,3-Triazole",Inactive,Leishmania,,L. amazonensis : >200,,,,341.37,,C18H19N3O4,10.5935/0103-5053.20160017,0
1337,1338,COc3ccc(n2cc(c1cc(OC)c(OC)c(OC)c1)nn2)cc3,"4-(4-Methoxyphenyl)-1-(3,4,5-trimethoxyphenyl)-1H-1,2,3-Triazole",Inactive,Leishmania,,L. infantum : >200,,,,341.37,,C18H19N3O4,10.5935/0103-5053.20160017,0
1338,1339,COc4ccc(c3cn(c2ccc1OCOc1c2)nn3)cc4,"4-(1,3-Benzodioxol-5-yl)-1-(4-methoxyphenyl)-1H-1,2,3-triazole ",Inactive,Leishmania,,L. amazonensis : 40.9,,,,295.3,,C16H13N3O3,10.5935/0103-5053.20160017,0
1339,1340,COc4ccc(c3cn(c2ccc1OCOc1c2)nn3)cc4,"4-(1,3-Benzodioxol-5-yl)-1-(4-methoxyphenyl)-1H-1,2,3-triazole ",Inactive,Leishmania,,L. infantum : 94.5,,,,295.3,,C16H13N3O3,10.5935/0103-5053.20160017,0
1340,1341,COc3ccc(n2cc(c1cc(OC)c(OC)c(OC)c1)nn2)cc3OC,"1-(3,4-Dimetyhoxyphenyl)-4-(3,4,5-trimethoxyphenyl)-1H1,2,3 triazole",Inactive,Leishmania,,L. amazonensis : 122.4,,,,371.39,,C19H21N3O5,10.5935/0103-5053.20160017,0
1341,1342,COc3ccc(n2cc(c1cc(OC)c(OC)c(OC)c1)nn2)cc3OC,"1-(3,4-Dimetyhoxyphenyl)-4-(3,4,5-trimethoxyphenyl)-1H1,2,3 triazole",Inactive,Leishmania,,L. infantum : >200,,,,371.39,,C19H21N3O5,10.5935/0103-5053.20160017,0
1342,1343,COc3ccc(n2cc(c1ccc(OC)c(OC)c1)nn2)cc3,,Inactive,Leishmania,,,,,,311.34,,C17H17N3O3,10.5935/0103-5053.20160017,0
1343,1344,C1[C@@H](C[C@H]2[C@](C1)([C@H]1[C@H](C[C@H]2[NH3+])[C@H]2[C@@](CC1)(C)[C@@H](CC2)[C@H](C)CCCC(C)C)C)O,6-alpha-aminocholestanol,Active,Leishmania,Intracellular,3.6,,,,404.7,,C27H50NO+,"10.1371/journal.pntd.0006160
",0
1344,1345,C1[C@@H](C[C@H]2[C@](C1)([C@H]1[C@H](C[C@H]2[NH3+])[C@H]2[C@@](CC1)(C)[C@@H](CC2)[C@H](C)CCCC(C)C)C)O,6-alpha-aminocholestanol,Active,Leishmania,Intracellular,35.2,,,,404.7,,C27H50NO+,"10.1371/journal.pntd.0006160
",0
1345,1346,C1[C@@H](C[C@H]2[C@](C1)([C@H]1[C@H](C[C@H]2[NH3+])[C@H]2[C@@](CC1)(C)[C@@H](CC2)[C@H](C)CCCC(C)C)C)O,6-alpha-aminocholestanol,Active,Leishmania,Intracellular,0.9,,,,404.7,,C27H50NO+,"10.1371/journal.pntd.0006160
",0
1346,1347,CC(C)CCC[C@H](C)C3CC[C@@H]4[C@@H]2CC(=O)[C@@H]1CC(O)CC[C@@]1(C)[C@H]2CC[C@@]34C,6-ketocholestanol,Active,Leishmania,Intracellular,39.1,,,,402.65,,C27H46O2,"10.1371/journal.pntd.0006160
",0
1347,1348,CC(C)CCC[C@H](C)C3CC[C@@H]4[C@@H]2CC(=O)[C@@H]1CC(O)CC[C@@]1(C)[C@H]2CC[C@@]34C,6-ketocholestanol,Active,Leishmania,Intracellular,81.4,,,,402.65,,C27H46O2,"10.1371/journal.pntd.0006160
",0
1348,1349,CC(C)CCC[C@H](C)C3CC[C@@H]4[C@@H]2CC(=O)[C@@H]1CC(O)CC[C@@]1(C)[C@H]2CC[C@@]34C,6-ketocholestanol,Active,Leishmania,Intracellular,4.2,,,,402.65,,C27H46O2,"10.1371/journal.pntd.0006160
",0
1349,1350,CC(C)CCC[C@H](C)[C@H]3CC[C@@H]4[C@@H]2C[C@H]([N+](=O)O)[C@@H]1CCCC[C@@]1(C)[C@H]2CC[C@@]34C,,Inactive,Leishmania,Enzymo,,,,,417.68,,C27H47NO2,"10.1371/journal.pntd.0006160
",0
1350,1351,CC(C)CCC[C@H](C)[C@H]3CC[C@@H]4[C@@H]2C[C@H]([N+](=O)O)[C@]1(Cl)CCCC[C@@]1(C)[C@H]2CC[C@@]34C,,Inactive,Leishmania,Enzymo,,,,,468.13,,C27H46ClNO3,"10.1371/journal.pntd.0006160
",0
1351,1352,CC(C)CCC[C@H](C)[C@H]3CC[C@@H]4[C@@H]2C/C(=N\O)[C@]1(O)CC(O)CC[C@@]1(C)[C@H]2CC[C@@]34C,,Inactive,Leishmania,Enzymo,,,,,433.68,,C27H47NO3,"10.1371/journal.pntd.0006160
",0
1352,1353,CC(C)CCC[C@H](C)[C@H]3CC[C@@H]4[C@@H]2C[C@](Cl)([N+](=O)O)[C@@H]1CCCC[C@@]1(C)[C@H]2CC[C@@]34C,,Inactive,Leishmania,Enzymo,,,,,452.13,,C27H46ClNO2,"10.1371/journal.pntd.0006160
",0
1353,1354,CC(C)CCC[C@H](C)[C@H]3CC[C@@H]4[C@@H]2CC[C@@H]1CC(Cl)([N+](=O)O)CC[C@@]1(C)[C@H]2CC[C@@]34C,,Inactive,Leishmania,Enzymo,,,,,452.13,,C27H46ClNO2,"10.1371/journal.pntd.0006160
",0
1354,1355,CC(C)CCC[C@H](C)[C@H]3CC[C@@H]4[C@@H]2C/C(=N\O)[C@@H]1C/C(=N\O)CC[C@@]1(C)[C@H]2CC[C@@]34C,,Inactive,Leishmania,Enzymo,,,,,430.68,,C27H46N2O2,"10.1371/journal.pntd.0006160
",0
1355,1356,CC(C)CCC[C@H](C)[C@H]3CC[C@@H]4[C@@H]2C(=O)C[C@@H]1CC(O)CC[C@@]1(C)[C@H]2CC[C@@]34C,,Inactive,Leishmania,Enzymo,,,,,402.67,,C27H46O2,"10.1371/journal.pntd.0006160
",0
1356,1357,C[C@@]34CC[C@H]2[C@@H](CC(=O)[C@@H]1CC(O)CC[C@]12C)[C@H]3CC(O)C4,,Inactive,Leishmania,Enzymo,,,,,306.45,,C19H30O3,"10.1371/journal.pntd.0006160
",0
1357,1358,[H][C@]4(c1ccccc1)OC3C/C2=C(/C=C\C(C)(C)O2)\C(OC)=C3\[C@H](O)[C@@H]4O,"3 beta,4 beta-dihydroxy-5-methoxy-(7,6)-2,2-dimethylpyranoflavan",Active,Leishmania,Extracellular,,,,,356.42,Lonchocarpus xuul (L. xuul) and Lonchocarpus yucatanensis leaves],C21H24O5,10.1016/j.apjtm.2017.10.016,0
1358,1359,CC(=C)[C@@H]1CC[C@]2([C@H]1[C@H]3CC[C@@H]4[C@]5(CC[C@@H](C([C@@H]5CC[C@]4([C@@]3(CC2)C)C)(C)C)O)C)C(=O)O,betulinic acid,Active,Leishmania,Extracellular,,,,,456.7,P. andrieuxii leaves,C30H48O3,10.1016/j.apjtm.2017.10.016,0
1359,1360,c1ccc2c(c1)c3ccnc(c3[nH]2)C4=C[C@@]56CC/C=C\CCCCN7CCC4[C@]8(C7)C5N9CCCC(=O)CCC9(C8)O6,"12,34-Oxamanzamine E",Inactive,Leishmania,Extracellular,,,,,562.76,marine sponge,C36H42N4O2,10.1016/j.ejmech.2014.07.006,0
1360,1361,c1ccc2c(c1)c3ccnc(c3[nH]2)C4=C[C@]56CC/C=C\CCCCN7CC[C@H]4[C@@]8(C7)[C@@H]5N9CCCC(=O)CC[C@@]9(C8)O6,"ent-12,34-Oxamanzamine E
",Inactive,Leishmania,Extracellular,,,,,562.76,marine sponge,C36H42N4O2,10.1016/j.ejmech.2014.07.006,0
1361,1362,[H][C@]17CCN%10CCCC8CCCC[C@@]6(/C=C1/c3nccc4c2cc(O)ccc2[nH]c34)O[C@@]59CCC(=O)CCCN5C6C7(CC89)C%10,"12,34-Oxa-6-hydroxy manzamine E
",Inactive,Leishmania,Extracellular,,,,,592.78,marine sponge,C37H44N4O3,10.1016/j.ejmech.2014.07.006,0
1362,1363,c1cc2c3ccnc(c3[nH]c2c(c1)O)C4=C[C@]56CC/C=C\CCCCN7CC[C@H]4[C@@]8(C7)[C@@H]5N9CCCC(=O)CC[C@@]9(C8)O6,"ent-12,34-Oxamanzamine F
",Inactive,Leishmania,Extracellular,,,,,578.74,marine sponge,C36H42N4O3,10.1016/j.ejmech.2014.07.006,0
1363,1364,C[C@]8(O)CC[C@H]7C[C@]46CN5CCCC/C=C/C[C@@](O)(/C=C(c2nccc3c1ccccc1[nH]c23)\C4CC5)[C@@H]6N7CC8,"32,33-Dihydro-31-hydroxy manzamine A
",Inactive,Leishmania,Extracellular,,,,,552.76,marine sponge,C35H44N4O2,10.1016/j.ejmech.2014.07.006,0
1364,1365,O=C7[C@@H]1CCCCCN1[C@@H]2C8C3CCN(CCCCC/C=C/CC[C@]2(O)/C=C3/c5nccc6c4cc(O)ccc4[nH]c56)[C@@H]78,,Inactive,Leishmania,Extracellular,,,,,580.77,marine sponge,C36H44N4O3,10.1016/j.ejmech.2014.07.006,0
1365,1366,C[C@H](/C=C/[C@H](C)C(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@]24C=C[C@@]5([C@@]3(CC[C@@H](C5)O)C)OO4)C,Ergosterol peroxide,Active,Leishmania,,4,,,,428.6,Trametes versicolor,C28H44O3,10.3390/molecules21081045,0
1366,1367,C[C@H](/C=C/[C@H](C)C(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@]24C=C[C@@]5([C@@]3(CC[C@@H](C5)O)C)OO4)C,Ergosterol peroxide,Active,Leishmania,,13.9,,,,428.6,Trametes versicolor,C28H44O3,10.3390/molecules21081045,0
1367,1368,[H][C@]4([C@H](C)/C=C/[C@H](C)C(C)C)CCC3/C2=C/CC1C[C@@H](O)CC[C@]1(C)C2CC[C@@]34C,"7,22-ergostadien-3β-ol",Active,Leishmania,Intracellular,50,,,,398.68,Trametes versicolor,C28H46O,10.3390/molecules21081045,0
1368,1369,[H][C@]4([C@H](C)/C=C/[C@H](C)C(C)C)CCC3/C2=C/CC1C[C@@H](O)CC[C@]1(C)C2CC[C@@]34C,"7,22-ergostadien-3β-ol",Active,Leishmania,Intracellular,12,,,,398.68,Trametes versicolor,C28H46O,10.3390/molecules21081045,0
1369,1370,CCCC(=O)N[C@@H](CCC(=O)N)C(=O)N[C@H]1[C@H](OC(=O)[C@@H](NC(=O)[C@@H](N(C(=O)[C@@H](N2[C@@H](CC[C@@H](C2=O)NC(=O)[C@@H](NC1=O)CCCNC(=O)N)O)[C@@H](C)CC)C)Cc3ccc(c(c3)Br)OC)C(C)C)C,symplocamide A,Active,Leishmania,Extracellular,>9.5 ,,,,1052.02,"The cyanobacterium Symploca sp. from Papua New Guinea
",C46H71BrN10O13,10.1055/s-0030-1250663,0
1370,1371,C[C@@H]1CC[C@H]2[C@H]([C@@H](O[C@H]3[C@@]24[C@H]1CCC(O3)(OO4)C)OC(=O)CCC(=O)O)C,"artesunate 
",Active,Leishmania,Intracellular,>7.8,,,,384.42,,C19H28O8,10.1371/journal.pone.0135556,0
1371,1372,C[C@@H]1CC[C@H]2[C@H]([C@@H](O[C@H]3[C@@]24[C@H]1CCC(O3)(OO4)C)OC(=O)CCC(=O)O)C,"artesunate 
",Active,Leishmania,Intracellular,0.35,,,,384.42,,C19H28O8,10.1371/journal.pone.0135556,0
1372,1373,c1cc(oc1/C=N/N2CC(=O)NC2=O)[N+](=O)[O-],nitrofurantoine,Active,Leishmania,Intracellular,>41.81,,,,238.16,,C8H6N4O5,10.1371/journal.pone.0135556,0
1373,1374,c1cc(oc1/C=N/N2CC(=O)NC2=O)[N+](=O)[O-],nitrofurantoine,Active,Leishmania,Intracellular,2.12,,,,238.16,,C8H6N4O5,10.1371/journal.pone.0135556,0
1374,1375,c1cc(ccc1C(=O)N/N=C/c2ccc(o2)[N+](=O)[O-])O,nifuroxazide,Active,Leishmania,Intracellular,>10.86,,,,275.22,,"C12H9N3O5
",10.1371/journal.pone.0135556,0
1375,1376,c1cc(ccc1C(=O)N/N=C/c2ccc(o2)[N+](=O)[O-])O,nifuroxazide,Active,Leishmania,Intracellular,2.83,,,,275.22,,"C12H9N3O5
",10.1371/journal.pone.0135556,0
1376,1377,Cc1c(c2c3c4c1O[C@@](C4=O)(O/C=C/[C@@H]([C@H]([C@H]([C@@H]([C@@H]([C@@H]([C@H]([C@H](/C=C/C=C(\C(=O)Nc(c2O)c(c3O)/C=N/N5CCN(CC5)C)/C)C)O)C)O)C)OC(=O)C)C)OC)C)O,rifampicin,Active,Leishmania,Intracellular,>36.45,,,,822.94,,C43H58N4O12,10.1371/journal.pone.0135556,0
1377,1378,Cc1c(c2c3c4c1O[C@@](C4=O)(O/C=C/[C@@H]([C@H]([C@H]([C@@H]([C@@H]([C@@H]([C@H]([C@H](/C=C/C=C(\C(=O)Nc(c2O)c(c3O)/C=N/N5CCN(CC5)C)/C)C)O)C)O)C)OC(=O)C)C)OC)C)O,rifampicin,Active,Leishmania,Intracellular,1.53,,,,822.94,,C43H58N4O12,10.1371/journal.pone.0135556,0
1378,1379,Cc1c(c2c3c(cc(c2O)NC(=O)/C(=C\C=C\[C@@H]([C@@H]([C@H]([C@H]([C@H]([C@@H]([C@@H]([C@H](/C=C/O[C@@]4(C(=O)c3c1O4)C)OC)C)OC(=O)C)C)O)C)O)C)/C)O)O,rifamycin SV,Active,Leishmania,Intracellular,>13.87,,,,697.77,,C37H47NO12,10.1371/journal.pone.0135556,0
1379,1380,Cc1c(c2c3c(cc(c2O)NC(=O)/C(=C\C=C\[C@@H]([C@@H]([C@H]([C@H]([C@H]([C@@H]([C@@H]([C@H](/C=C/O[C@@]4(C(=O)c3c1O4)C)OC)C)OC(=O)C)C)O)C)O)C)/C)O)O,rifamycin SV,Active,Leishmania,Intracellular,1.5,,,,697.77,,C37H47NO12,10.1371/journal.pone.0135556,0
1380,1381,[H][C@H]2[C@@H](OC)/C1=C(OC)/C\4=C(CC1O[C@]2([H])c3ccccc3)/OC(C)(C)/C=C4,flavan,Inactive,Leishmania,,,,,,354.45,Lonchocarpus spp,C22H26O4,10.1016/j.phymed.2006.11.027,0
1381,1382,[H][C@]4(c1ccccc1)OC3C/C2=C(/C=C\C(C)(C)O2)\C(OC)=C3\[C@H](OC)[C@@H]4OC,flavan,Inactive,Leishmania,,,,,,384.47,Lonchocarpus spp,C23H28O5,10.1016/j.phymed.2006.11.027,0
1382,1383,[H][C@]4(c1ccccc1)OC3C/C2=C(/C=C\C(C)(C)O2)\C(OC)=C3\[C@H](OC)[C@@H]4O,flavan,Inactive,Leishmania,,,,,,370.44,Lonchocarpus spp,C22H26O5,10.1016/j.phymed.2006.11.027,0
1383,1384,COc3ccc(/C=C/C(=O)c2c(O)c1/C=C\C(C)(C)Oc1cc2OC)cc3,flavan,Inactive,Leishmania,,,,,,366.41,Lonchocarpus spp,C22H22O5,10.1016/j.phymed.2006.11.027,0
1384,1385,[H]C1=C([H])C(SC2=NC(OC(C)CC)=C([H])C(N)=N2)=C([H])C(Cl)=C1[H],6-(Sec-butoxy)-2-((3-chlorophenyl)thio)pyrimidin-4-amine,Active,Leishmania,Enzymo,29.43,,,,309.81,,C14H16ClN3OS,10.1080/14756366.2016.1250755,0
1385,1386,CCP(=[Au]S[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)COC(=O)C)OC(=O)C)OC(=O)C)OC(=O)C)(CC)CC,Auranofin,Active,Leishmania,Enzymo,9.68 ± 1.02,,,,678.48,,C20H34AuO9PS,10.1007/s00726-011-0997-9,0
1386,1387,CCP(=[Au]S[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)COC(=O)C)OC(=O)C)OC(=O)C)OC(=O)C)(CC)CC,Auranofin,Active,Leishmania,Enzymo,15.66 ± 1.24,,,,678.48,,C20H34AuO9PS,10.1007/s00726-011-0997-9,0
1387,1388,CCP(CC)(CC)[Au]Cl,Chloro(triethylphosphoranyl)gold,Active,Leishmania,Enzymo,16.59 ± 1.03,,,,351.58,,C6H16AuClP,10.1007/s00726-011-0997-9,0
1388,1389,CCP(CC)(CC)[Au]Cl,Chloro(triethylphosphoranyl)gold,Active,Leishmania,Enzymo,17.48 ± 1.02,,,,351.58,¼29.43,C6H16AuClP,10.1007/s00726-011-0997-9,0
1389,1390,COc1cccc2C(=O)c3c(O)c4CC(O)(CC(OC5CC(N)C(O)C(C)O5)c4c(O)c3C(=O)c12)C(=O)CO,Doxorubicin,Active,Leishmania,Enzymo,11.76 ± 0.11,,,,543.52,,C27H29NO11,10.1007/s11010-011-0762-0,0
1390,1391,COc1cccc2C(=O)c3c(O)c4CC(O)(CC(OC5CC(N)C(O)C(C)O5)c4c(O)c3C(=O)c12)C(=O)CO,Doxorubicin,Active,Leishmania,Enzymo,12.02 ± 0.15,,,,543.52,,C27H29NO11,10.1007/s11010-011-0762-0,0
1391,1392,COC12C3NC3CN1C1=C(C2COC(N)=O)C(=O)C(N)=C(C)C1=O,Mitomycin C,Active,Leishmania,Enzymo,12.76 ± 0.20,,,,334.33,,C15H18N4O5,10.1007/s11010-011-0762-0,0
1392,1393,COC12C3NC3CN1C1=C(C2COC(N)=O)C(=O)C(N)=C(C)C1=O,Mitomycin C,Active,Leishmania,Enzymo,11.52 ± 0.15,,,,334.33,,C15H18N4O5,10.1007/s11010-011-0762-0,0
1393,1394,CCC1=CC=C(C=C1)N1C(C)=C(CN2CCSCC2)C=C1C1=CC=C(SC)C=C1,d 4-((1-(4-ethylphenyl)-2-methyl-5-(4-(methylthio)phenyl)-1H-pyrrol-3-yl)methyl)thiomorpholine,Active,Leishmania,Enzymo,13.7,,,,422.66,,C25H30N2S2,10.1002/cmdc.201300176,0
1394,1395,COC(=O)C1=COC(OC2OC(CO)C(O)C(O)C2O)C2[C@@H](C)[C@@H](O)[C@@H](OC(=O)C=CC3=CC=C(O)C=C3)C12,arbortristoside C,Active,Leishmania,Enzymo,,,,,552.53,Nyctanthes arbortristis,C26H32O13,10.1016/j.jep.2011.01.044,0
