ID_compound,SMILES,Common_name,Biological Activity,Pathogen,Category,IC50 (µM),Experiment Type,IC50(µg/ml),CC50,Ki,EC50_invitro,EC50_viral,% Inhibition,Tested at [C],Molecular Weight,Origin,Formula,Family,Sub_family,Nature,Reference,ID_ref,PUBCHEM_CID
659,FC(F)(F)c3ccc(O[C@H]1CCCC[C@@H]1Cn2ccnc2)cc3,"2,6-bis-
imidazolylmethyl-cyclohexyl aryl ether",Active,Leishmania,Intracellular,,,3.83,,,,,,,324.346,,C17H19F3N2O,imidazole derivative,,synthetic,"10.1021/cr400552x;
    10.1016/j.bmcl.2008.11.094",614,
660,[O-][N+](=O)c1ccc(O[C@H]2CCCC[C@@H]2Cn2ccnc2)cc1,1-(2-aryloxycyclohexylmethyl)-1H-imidazole,Active,Leishmania,Intracellular,,,0.82,,,,,,,301.346,,C16H19N3O3,imidazole derivative,,synthetic,"10.1021/cr400552x;
    10.1016/j.bmcl.2008.11.094",615,
661,[O-][N+](=O)c1ccc(O[C@H]2CCCC[C@@H]2Cn2ccnc2)cc1,1-(2-aryloxycyclohexylmethyl)-1H-imidazole,Active,Leishmania,Intracellular,,,4.57,,,,,,,301.346,,C16H19N3O3,imidazole derivative,,synthetic,"10.1021/cr400552x;
    10.1016/j.bmcl.2008.11.094",615,
662,[O-][N+](=O)c1ccccc1O[C@H]1CCCC[C@@H]1Cn1ccnc1,"2,6-bis-
imidazolylmethyl-cyclohexyl aryl ether",Active,Leishmania,Intracellular,,,4.23,,,,,,,301.346,,C16H19N3O3,imidazole derivative,,synthetic,"10.1021/cr400552x;
    10.1016/j.bmcl.2008.11.094",616,
663,[O-][N+](=O)c1ccc(O[C@H]2CCCC[C@@H]2Cn2ccnc2)c(F)c1,"2,6-bis-
imidazolylmethyl-cyclohexyl aryl ether",Active,Leishmania,Axenic,,,1.09,,,,,,,319.336,,C16H18FN3O3,imidazole derivative,,synthetic,"10.1021/cr400552x;
    10.1016/j.bmcl.2008.11.094",618,
664,[O-][N+](=O)c1ccc(O[C@H]2CCCC[C@@H]2Cn2ccnc2)c(F)c1,"2,6-bis-
imidazolylmethyl-cyclohexyl aryl ether",Active,Leishmania,Axenic,,,0.71,,,,,,,319.336,,C16H18FN3O3,imidazole derivative,,synthetic,"10.1021/cr400552x;
    10.1016/j.bmcl.2008.11.094",618,
665,FC(F)(F)c4ccc(OC2C(n1ccnc1)CCCC2n3ccnc3)cc4,"1-aryloxy-2, 6-bisimidazolyl
cyclohexane",Active,Leishmania,Axenic,,,2.06,,,,,,,376.382,,C19H19F3N4O,imidazole derivative,,synthetic,"10.1021/cr400552x;
    10.1016/j.bmcl.2008.11.094",622,
666,FC(F)(F)c4ccc(OC2C(n1ccnc1)CCCC2n3ccnc3)cc4,"1-aryloxy-2, 6-bisimidazolyl
cyclohexane",Active,Leishmania,Axenic,,,3,,,,,,,376.382,,C19H19F3N4O,imidazole derivative,,synthetic,"10.1021/cr400552x;
    10.1016/j.bmcl.2008.11.094",622,
667,[O-][N+](=O)c1ccc(OC2C(CCCC2n2ccnc2)n2ccnc2)cc1,"1-aryloxy-2, 6-bisimidazolyl
cyclohexane",Active,Leishmania,Intracellular,,,4.67,,,,,,,353.382,,C18H19N5O3,imidazole derivative,,synthetic,"10.1021/cr400552x;
    10.1016/j.bmcl.2008.11.094",623,
668,[O-][N+](=O)c1ccc(OC2C(CCCC2n2ccnc2)n2ccnc2)cc1,"1-aryloxy-2, 6-bisimidazolyl
cyclohexane",Active,Leishmania,Intracellular,,,8.76,,,,,,,353.382,,C18H19N5O3,imidazole derivative,,synthetic,"10.1021/cr400552x;
    10.1016/j.bmcl.2008.11.094",623,
669,"[O-][N+](=O)c1ccc(OC2C(CCCC2n2ccnc2)n2ccnc2)c(F)c1
","1-aryloxy-2, 6-bisimidazolyl
cyclohexane",Active,Leishmania,,,,6.13,,,,,,,371.372,,C18H18FN5O3,imidazole derivative,,synthetic,"10.1021/cr400552x;
    10.1016/j.bmcl.2008.11.094",624,
670,"[O-][N+](=O)c1ccc(OC2C(CCCC2n2ccnc2)n2ccnc2)c(F)c1
","1-aryloxy-2, 6-bisimidazolyl
cyclohexane",Active,Leishmania,,,,3.02,,,,,,,371.372,,C18H18FN5O3,imidazole derivative,,synthetic,"10.1021/cr400552x;
    10.1016/j.bmcl.2008.11.094",624,
671,FC(F)(F)c3ccc(OC(CCn1ccnc1)c2ccccc2)cc3,,Active,Leishmania,Intracellular,,,,,,,,,,346.352,,C19H17F3N2O,imidazole derivative,Aryloxyalkyl Imidazole,synthetic,"10.1021/cr400552x;
    10.1016/j.bmcl.2009.10.117

",628,
672,FC(F)(F)c3ccc(OC(CCn1ccnc1)c2ccccc2)cc3,,Active,Leishmania,Intracellular,,,0.47,,,,,,,346.352,,C19H17F3N2O,imidazole derivative,Aryloxyalkyl Imidazole,synthetic,"10.1021/cr400552x;
    10.1016/j.bmcl.2009.10.117

",628,
673,[O-][N+](=O)c1ccc(OC(CCn2ccnc2)c2ccccc2)cc1,,Active,Leishmania,Intracellular,,,,,,,,,,323.352,,C18H17N3O3,imidazole derivative,Aryloxyalkyl Imidazole,synthetic,"10.1021/cr400552x;
    10.1016/j.bmcl.2009.10.117

",629,
674,[O-][N+](=O)c1ccc(OC(CCn2ccnc2)c2ccccc2)cc1,,Active,Leishmania,Intracellular,,,3.82,,,,,,,323.352,,C18H17N3O3,imidazole derivative,Aryloxyalkyl Imidazole,synthetic,"10.1021/cr400552x;
    10.1016/j.bmcl.2009.10.117

",629,
675,[O-][N+](=O)c1ccccc1OC(CCn1ccnc1)c1ccccc1,,Active,Leishmania,Intracellular,,,,,,,,,,323.352,,C18H17N3O3,imidazole derivative,Aryloxyalkyl Imidazole,synthetic,"10.1021/cr400552x;
    10.1016/j.bmcl.2009.10.117

",630,
676,[O-][N+](=O)c1ccccc1OC(CCn1ccnc1)c1ccccc1,,Active,Leishmania,Intracellular,,,0.48,,,,,,,323.352,,C18H17N3O3,imidazole derivative,Aryloxyalkyl Imidazole,synthetic,"10.1021/cr400552x;
    10.1016/j.bmcl.2009.10.117

",630,
677,[O-][N+](=O)c1ccc(OC(CCn2ccnc2)c2ccccc2)c(F)c1,,Active,Leishmania,Intracellular,,,,,,,,,,341.342,,C18H16FN3O3,imidazole derivative,Aryloxyalkyl Imidazole,synthetic,"10.1021/cr400552x;
    10.1016/j.bmcl.2009.10.117

",631,
678,[O-][N+](=O)c1ccc(OC(CCn2ccnc2)c2ccccc2)c(F)c1,,Active,Leishmania,Intracellular,,,2.83,,,,,,,341.342,,C18H16FN3O3,imidazole derivative,Aryloxyalkyl Imidazole,synthetic,"10.1021/cr400552x;
    10.1016/j.bmcl.2009.10.117

",631,
679,CC(Cn1ccnc1)C(Oc2ccc(C(F)(F)F)cc2)c3ccccc3,,Active,Leishmania,Intracellular,,,,,,,,,,360.379,,C20H19F3N2O,imidazole derivative,Aryloxyalkyl Imidazole,synthetic,"10.1021/cr400552x;
    10.1016/j.bmcl.2009.10.117

",632,
680,CC(Cn1ccnc1)C(Oc2ccc(C(F)(F)F)cc2)c3ccccc3,,Active,Leishmania,Intracellular,,,1.85,,,,,,,360.379,,C20H19F3N2O,imidazole derivative,Aryloxyalkyl Imidazole,synthetic,"10.1021/cr400552x;
    10.1016/j.bmcl.2009.10.117

",632,
681,CC(Cn1ccnc1)C(Oc1ccccc1[N+]([O-])=O)c1ccccc1,,Active,Leishmania,Intracellular,,,,,,,,,,337.379,,C19H19N3O3,imidazole derivative,aryloxyalkyl imidazole,synthetic,"10.1021/cr400552x;
    10.1016/j.bmcl.2009.10.117

",633,
682,CC(Cn1ccnc1)C(Oc1ccccc1[N+]([O-])=O)c1ccccc1,,Active,Leishmania,Intracellular,,,2.27,,,,,,,337.379,,C19H19N3O3,imidazole derivative,aryloxyalkyl imidazole,synthetic,"10.1021/cr400552x;
    10.1016/j.bmcl.2009.10.117

",633,
683,FC(F)(F)c3ccc(OC(Cn1ccnc1)c2ccccc2)cc3,,Active,Leishmania,Intracellular,,,,,,,,,,332.325,,C18H15F3N2O,imidazole derivative,aryloxyalkyl imidazole,synthetic,"10.1021/cr400552x;
    10.1016/j.bmcl.2009.10.117

",637,
684,FC(F)(F)c3ccc(OC(Cn1ccnc1)c2ccccc2)cc3,,Active,Leishmania,Intracellular,,,2.05,,,,,,,332.325,,C18H15F3N2O,imidazole derivative,aryloxyalkyl imidazole,synthetic,"10.1021/cr400552x;
    10.1016/j.bmcl.2009.10.117

",637,
685,[O-][N+](=O)c1ccc(OC(Cn2ccnc2)c2ccccc2)cc1,,Active,Leishmania,Intracellular,,,,,,,,,,309.325,,C17H15N3O3,imidazole derivative,aryloxyalkyl imidazole,synthetic,"10.1021/cr400552x;
    10.1016/j.bmcl.2009.10.117

",638,
686,[O-][N+](=O)c1ccc(OC(Cn2ccnc2)c2ccccc2)cc1,,Active,Leishmania,Intracellular,,,3.71,,,,,,,309.325,,C17H15N3O3,imidazole derivative,aryloxyalkyl imidazole,synthetic,"10.1021/cr400552x;
    10.1016/j.bmcl.2009.10.117

",638,
687,[O-][N+](=O)c1ccc(OC(Cn2ccnc2)c2ccccc2)c(F)c1,,Active,Leishmania,Intracellular,,,2.76,,,,,,,327.315,,C17H14FN3O3,imidazole derivative,aryloxyalkyl imidazole,synthetic,"10.1021/cr400552x;
    10.1016/j.bmcl.2009.10.117

",639,
688,[O-][N+](=O)c1ccccc1OC(Cn1ccnc1)c1ccccc1,,Active,Leishmania,Intracellular,,,,,,,,,,309.325,,C17H15N3O3,imidazole derivative,aryloxyalkyl imidazole,synthetic,"10.1021/cr400552x;
    10.1016/j.bmcl.2009.10.117

",640,
689,[O-][N+](=O)c1ccccc1OC(Cn1ccnc1)c1ccccc1,,Active,Leishmania,Intracellular,,,2.25,,,,,,,309.325,,C17H15N3O3,imidazole derivative,aryloxyalkyl imidazole,synthetic,"10.1021/cr400552x;
    10.1016/j.bmcl.2009.10.117

",640,
690,FC(F)(F)c1ccc(OC(Cn2ccnc2)OCC2=CC=CC=C2)cc1,,Active,Leishmania,Intracellular,,,,,,,,,,362.351,,C19H17F3N2O2,imidazole derivative,diaryloxyalkyl imidazole,synthetic,"10.1021/cr400552x;
    10.1016/j.bmcl.2009.10.117

",641,
691,FC(F)(F)c1ccc(OC(Cn2ccnc2)OCC2=CC=CC=C2)cc1,,Active,Leishmania,Intracellular,,,0.56,,,,,,,362.351,,C19H17F3N2O2,imidazole derivative,diaryloxyalkyl imidazole,synthetic,"10.1021/cr400552x;
    10.1016/j.bmcl.2009.10.117

",641,
692,[O-][N+](=O)c1ccccc1OC(Cn1ccnc1)OCC1=CC=CC=C1,,Active,Leishmania,Intracellular,,,,,,,,,,339.351,,C18H17N3O4,imidazole derivative,diaryloxyalkyl imidazole,synthetic,"10.1021/cr400552x; 
    10.1016/j.bmcl.2009.10.117

",642,
693,[O-][N+](=O)c1ccccc1OC(Cn1ccnc1)OCC1=CC=CC=C1,,Active,Leishmania,Intracellular,,,4.82,,,,,,,339.351,,C18H17N3O4,imidazole derivative,diaryloxyalkyl imidazole,synthetic,"10.1021/cr400552x; 
    10.1016/j.bmcl.2009.10.117

",642,
694,Clc3cccc(COC(CCn1ccnc1)c2ccco2)c3,,Active,Leishmania,Intracellular,3.04,,,60.21,,,,,,316.788,synthetic,C17H17ClN2O2,Imidazolidine Derivative,furanyl azole derivative,synthetic,"10.1021/cr400552x; 
    10.1100/tsw.2010.176",646,
695,Clc3ccc(COC(CCn1ccnc1)c2ccco2)c(Cl)c3,,Active,Leishmania,Intracellular,[3.04-9.39],,,,,,,,,351.233,,C17H16Cl2N2O2,Imidazolidine Derivative,furanyl azole derivative,synthetic,"10.1021/cr400552x;
    10.1100/tsw.2010.176",647,
696,Clc3ccc(Cl)c(COC(CCn1ccnc1)c2ccco2)c3,,Active,Leishmania,Intracellular,[3.04-9.39],,,,,,,,,351.233,,C17H16Cl2N2O2,Imidazolidine Derivative,furanyl azole derivative,synthetic,"10.1021/cr400552x;
    10.1100/tsw.2010.176",648,
697,Fc3ccc(COC(CCn1ccnc1)c2ccco2)c(F)c3,,Active,Leishmania,Intracellular,[3.04-9.39],,,,,,,,,318.323,,C17H16F2N2O2,Imidazolidine Derivative,furanyl azole derivative,synthetic,"10.1021/cr400552x;
    10.1100/tsw.2010.176",649,
698,Fc3ccc(F)c(COC(CCn1ccnc1)c2ccco2)c3,,Active,Leishmania,Intracellular,[3.04-9.39],,,,,,,,,318.323,,C17H16F2N2O2,Imidazolidine Derivative,furanyl azole derivative,synthetic,"10.1021/cr400552x;
    10.1100/tsw.2010.176",650,
699,Clc3cccc(COC(CCn1cncn1)c2ccco2)c3,,Active,Leishmania,Intracellular,[3.04-9.39],,,,,,,,,317.776,,C16H16ClN3O2,Imidazolidine Derivative,furanyl azole derivative,synthetic,"10.1021/cr400552x;
    10.1100/tsw.2010.176",651,
700,Clc3ccc(Cl)c(COC(CCn1cncn1)c2ccco2)c3,,Active,Leishmania,Intracellular,[3.04-9.39],,,,,,,,,352.221,,C16H15Cl2N3O2,Imidazolidine Derivative,furanyl azole derivative,synthetic,"10.1021/cr400552x
    10.1100/tsw.2010.176",652,
701,Clc3cccc(COC(CCn1ccnc1)c2cccs2)c3,,Active,Leishmania,Intracellular,[5.14-7.81],,,,,,,,,332.856,,C17H17ClN2OS,Imidazolidine Derivative,thiophenyl azole,synthetic,"10.1021/cr400552x;
    10.1100/tsw.2010.176",653,
702,Clc3ccc(COC(CCn1ccnc1)c2cccs2)c(Cl)c3,,Active,Leishmania,Intracellular,[5.14-7.81],,,,,,,,,367.301,,C17H16Cl2N2OS,Imidazolidine Derivative,thiophenyl azole,synthetic,"10.1021/cr400552x;
    10.1100/tsw.2010.176",654,
703,Clc3ccc(Cl)c(COC(CCn1ccnc1)c2cccs2)c3,,Active,Leishmania,Intracellular,[5.14-7.81],,,,,,,,,367.301,,C17H16Cl2N2OS,Imidazolidine Derivative,thiophenyl azole,synthetic,"10.1021/cr400552x;
    10.1100/tsw.2010.176",655,
704,Fc3ccc(COC(CCn1ccnc1)c2cccs2)c(F)c3,,Active,Leishmania,Intracellular,[5.14-7.81],,,,,,,,,334.391,,C17H16F2N2OS,Imidazolidine Derivative,thiophenyl azole,synthetic,"10.1021/cr400552x;
    10.1100/tsw.2010.176",656,
705,Fc3ccc(F)c(COC(CCn1ccnc1)c2cccs2)c3,,Active,Leishmania,Intracellular,[5.14-7.81],,,,,,,,,334.391,,C17H16F2N2OS,Imidazolidine Derivative,thiophenyl azole,synthetic,"10.1021/cr400552x;
    10.1100/tsw.2010.176",657,
706,c6ccc5[nH]c(c4ccc(OCCCOc3ccc(c2nc1ccccc1[nH]2)cc3)cc4)nc5c6,,Active,Leishmania,Extracellular,1.5,,,,,,,,,460.537,,C29H24N4O2,,bisbenzimidazole,,"10.1021/cr400552x;
    10.1016/j.bmcl.2008.03.020

",662,
707,c6ccc5[nH]c(c4ccc(OCCCCOc3ccc(c2nc1ccccc1[nH]2)cc3)cc4)nc5c6,,Active,Leishmania,Extracellular,4.9,,,,,,,,,474.564,,C30H26N4O2,,bisbenzimidazole,,"10.1021/cr400552x;
    10.1016/j.bmcl.2008.03.020

",663,
708,c6ccc5[nH]c(c4ccc(OCCCCCOc3ccc(c2nc1ccccc1[nH]2)cc3)cc4)nc5c6,,Active,Leishmania,Extracellular,1.4,,,,,,,,,488.591,,C31H28N4O2,,bisbenzimidazole,,"10.1021/cr400552x;
    10.1016/j.bmcl.2008.03.020

",664,
709,Cc1ncc(C(F)F)n1c2ccc(Cl)cc2,difluoromethylated azole,Active,Leishmania,Extracellular,1.7,,,,,,,,,242.656,,C11H9ClF2N2,,,synthetic,10.1021/cr400552x,669,
710,O=Cc2cn(c1cccc(Cl)c1)nn2,carbaldehyde,Active,Leishmania,Extracellular,2.8,,,,,,,,,207.62,,C9H6ClN3O,,,synthetic,10.1021/cr400552x,673,
711,FC(F)c2cn(c1cccc(Cl)c1)nn2,difluoromethylated azole,Active,Leishmania,Extracellular,2.6,,,,,,,,,229.617,,C9H6ClF2N3,,,synthetic,10.1021/cr400552x,674,
712,COC1=CC=C(CC(N)C(N)CC2=CC=C(OC)C=C2)C=C1,"1,2-Bis(p-methoxybenzyl)ethylenediamine",Active,Leishmania,Extracellular,,,1.9,,,,,,,300.402,,C18H24N2O2,Imidazolidine Derivative,,,"10.1021/cr400552x;
    10.1100/tsw.2010.176",678,
713,COC1=CC=C(CC(N)C(N)CC2=CC=C(OC)C=C2)C=C1,"1,2-Bis(p-methoxybenzyl)ethylenediamine",Active,Leishmania,Extracellular,,,1.8,,,,,,,300.402,,C18H24N2O2,Imidazolidine Derivative,,,"10.1021/cr400552x;
    10.1100/tsw.2010.176",678,
714,COc3ccc(CN2CCN(Cc1ccc(OC)cc1)C2)cc3,"2-Substituted-1,3-Bis(p-
methoxybenzyl)imidazolidine",Active,Leishmania,Extracellular,,,4.7,,,,,,,312.413,,C19H24N2O2,Imidazolidine Derivative,,synthetic,"10.1021/cr400552x;
    10.1100/tsw.2010.176",679,
715,COc3ccc(CN2CCN(Cc1ccc(OC)cc1)C2)cc3,"2-Substituted-1,3-Bis(p-
methoxybenzyl)imidazolidine",Active,Leishmania,Extracellular,,,2.4,,,,,,,312.413,,C19H24N2O2,Imidazolidine Derivative,,synthetic,"10.1021/cr400552x;
    10.1100/tsw.2010.176",679,
716,COc4ccc(CN2CCN(Cc1ccc(OC)cc1)C2c3ccccc3)cc4,"2-Substituted-1,3-Bis(p-
methoxybenzyl)imidazolidines",Active,Leishmania,Extracellular,,,13.6,,,,,,,388.511,,C25H28N2O2,Imidazolidine Derivative,,synthetic,"10.1021/cr400552x;
    10.1100/tsw.2010.176",680,
717,COc4ccc(CN2CCN(Cc1ccc(OC)cc1)C2c3ccccc3)cc4,"2-Substituted-1,3-Bis(p-
methoxybenzyl)imidazolidines",Active,Leishmania,Extracellular,,,4,,,,,,,388.511,,C25H28N2O2,Imidazolidine Derivative,,synthetic,"10.1021/cr400552x;
    10.1100/tsw.2010.176",680,
718,COc4ccc(CN2CCN(Cc1ccc(OC)cc1)C2c3ccc(OC)cc3)cc4,"2-Substituted-1,3-Bis(p-
methoxybenzyl)imidazolidines",Active,Leishmania,Extracellular,,,9,,,,,,,418.537,,C26H30N2O3,Imidazolidine Derivative,,synthetic,"10.1021/cr400552x;
    10.1100/tsw.2010.176",681,
719,COc4ccc(CN2CCN(Cc1ccc(OC)cc1)C2c3ccc(OC)cc3)cc4,"2-Substituted-1,3-Bis(p-
methoxybenzyl)imidazolidines",Active,Leishmania,Extracellular,,,3,,,,,,,418.537,,C26H30N2O3,Imidazolidine Derivative,,synthetic,"10.1021/cr400552x;
    10.1100/tsw.2010.176",681,
720,COc4ccc(CN2CCN(Cc1ccc(OC)cc1)C2c3ccccc3O)cc4,"2-Substituted-1,3-Bis(p-
methoxybenzyl)imidazolidines",Active,Leishmania,Extracellular,,,12.4,,,,,,,404.51,,C25H28N2O3,Imidazolidine Derivative,,synthetic,"10.1021/cr400552x;
    10.1100/tsw.2010.176",682,
721,COc4ccc(CN2CCN(Cc1ccc(OC)cc1)C2c3ccccc3O)cc4,"2-Substituted-1,3-Bis(p-
methoxybenzyl)imidazolidines",Active,Leishmania,Extracellular,,,6.7,,,,,,,404.51,,C25H28N2O3,Imidazolidine Derivative,,synthetic,"10.1021/cr400552x;
    10.1100/tsw.2010.176",682,
722,Cc3nc(c1ccccn1)nc(N2CCCC2)c3Cl,,Active,Leishmania,Extracellular,0.53,,,,,,,,,274.755,,C14H15ClN4,Pyrimidine,Pyridyl Pyrimidine,synthetic,"10.1021/cr400552x;
    10.1016/j.bmcl.2008.11.098",684,
723,Cc3nc(c1ccccn1)nc(NCc2ccccc2)c3Cl,,Active,Leishmania,Extracellular,0.47,,,,,,,,,310.788,,C17H15ClN4,Pyrimidine,2-Pyridyl Pyrimidine,synthetic,"10.1021/cr400552x;
    10.1016/j.bmcl.2008.11.098",685,
724,Cc3nc(c1ccccn1)nc(NCCc2ccccc2)c3Cl,,Active,Leishmania,Extracellular,0.5,,,,,,,,,324.815,,C18H17ClN4,Pyrimidine,2-Pyridyl Pyrimidine,synthetic,"10.1021/cr400552x;
    10.1016/j.bmcl.2008.11.098",686,
725,Cc3nc(c1ccccn1)nc(NCCCc2ccccc2)c3Cl,,Active,Leishmania,Extracellular,0.48,,,,,,,,,338.842,,C19H19ClN4,Pyrimidine,2-Pyridyl Pyrimidine,synthetic,"10.1021/cr400552x;
    10.1016/j.bmcl.2008.11.098",695,
726,Cc3nc(c1ccccn1)nc(CNCCc2ccccc2)c3Cl,,Active,Leishmania,Extracellular,0.32,,,,,,,,,338.842,,C19H19ClN4,Pyrimidine,2-Pyridyl Pyrimidine,synthetic,"10.1021/cr400552x;
    10.1016/j.bmcl.2008.11.098",688,
727,Cc3nc(c1ccccn1)nc(NCC2CCCCC2)c3Cl,,Active,Leishmania,Extracellular,0.31,,,,,,,,,316.836,,C17H21ClN4,Pyrimidine,2-Pyridyl Pyrimidine,synthetic,"10.1021/cr400552x;
    10.1016/j.bmcl.2008.11.098",689,
728,Cc3nc(c1ccccn1)nc(NCCC2CCCCC2)c3Cl,,Active,Leishmania,Extracellular,0.26,,,,,,,,,330.863,,C18H23ClN4,Pyrimidine,2-Pyridyl Pyrimidine,synthetic,"10.1021/cr400552x;
10.1016/j.bmcl.2008.11.098",690,
729,Cc3nc(c1ccccn1)nc(NCCc2cccc(Cl)c2)c3Cl,,Active,Leishmania,Extracellular,0.44,,,,,,,,,359.26,,C18H16Cl2N4,Pyrimidine,2-Pyridyl Pyrimidine,synthetic,"10.1021/cr400552x;
    10.1016/j.bmcl.2008.11.098",691,
730,Cc3nc(c1ccccn1)nc(NCCc2ccc(Cl)cc2)c3Cl,,Active,Leishmania,Extracellular,0.45,,,,,,,,,359.26,,C18H16Cl2N4,Pyrimidine,2-Pyridyl Pyrimidine,synthetic,"10.1021/cr400552x;
    10.1016/j.bmcl.2008.11.098",692,
731,COc3ccc(CCNc2nc(c1ccccn1)nc(C)c2Cl)cc3,2-pyridyl pyrimidine,Active,Leishmania,Extracellular,0.43,,,,,,,,,354.841,,C19H19ClN4O,pyrimidine,,synthetic,"10.1021/cr400552x;
    10.1016/j.bmcl.2008.11.098",693,
732,Cc4nc(c1ccccn1)nc(NC3C/C\2=C(CC/C=C2)\C3)c4Cl,2-pyridyl pyrimidine,Active,Leishmania,Extracellular,0.42,,,,,,,,,338.842,,C19H19ClN4,pyrimidine,,synthetic,"10.1021/cr400552x;
    10.1016/j.bmcl.2008.11.098",694,
733,Cc4nc(c1ccccn1)nc(C3CNC(Cc2ccccc2)C3)c4Cl,,Active,Leishmania,Extracellular,0.63,,,,,,,,,364.88,,C21H21ClN4,pyrimidine,2-pyridyl pyrimidine,synthetic,"10.1021/cr400552x;
    10.1016/j.bmcl.2008.11.098",697,
734,Cc3nc(c1ccccn1)nc(C2CCCN2)c3Cl.CCc1ccccc1,,Active,Leishmania,Extracellular,0.38,,,,,,,,,380.923,,C22H25ClN4,pyrimidine,2-pyridyl pyrimidine,synthetic,"10.1021/cr400552x;
    10.1016/j.bmcl.2008.11.098",698,
735,Cc3nc(c1ccccn1)nc(NCCNc2cc(C(F)(F)F)ccn2)c3Cl,,Active,Leishmania,Extracellular,0.28,,,,,,,,,408.815,,C18H16ClF3N6,pyrimidine,2-pyridyl pyrimidine,synthetic,"10.1021/cr400552x;
    10.1016/j.bmcl.2008.11.098",699,
736,CC(=O)/C2=C(C)/Nc1c(c(=O)n(C)c(=O)n1C)C2c3ccc(C(C)C)cc3,"Dihydropyrido[2,3-d]pyrimidine",Active,Leishmania,Extracellular,,,,,,,,100,,367.449,,C21H25N3O3,pyrimidine,,synthetic,"10.1021/cr400552x;
    10.1016/j.bmc.2005.07.043",701,
737,CC(=O)/C2=C(C)/Nc1c(c(=O)n(C)c(=O)n1C)C2c3ccc(C)c(C)c3,"Dihydropyrido[2,3-d]pyrimidine",Active,Leishmania,Extracellular,,,,,,,,100,,353.422,,C20H23N3O3,pyrimidine,,synthetic,"10.1021/cr400552x;
    10.1016/j.bmc.2005.07.043",702,
738,CC(=O)/C2=C(C)/Nc1c(c(=O)n(C)c(=O)n1C)C2c3ccc(C#N)cc3,"Dihydropyrido[2,3-d]pyrimidine",Active,Leishmania,Extracellular,,,,,,,,100,50 µg/ml,350.378,,C19H18N4O3,pyrimidine,,synthetic,"10.1021/cr400552x;
    10.1016/j.bmc.2005.07.043",703,
739,CC(=O)/C2=C(C)/Nc1c(c(=O)n(C)c(=O)n1C)C2c3ccc(C#N)cc3,"Dihydropyrido[2,3-d]pyrimidine",Active,Leishmania,Extracellular,,,,,,,,99,10 µg/ml,350.378,,C19H18N4O3,pyrimidine,,synthetic,"10.1021/cr400552x;
    10.1016/j.bmc.2005.07.043",703,
740,CC(=O)/C2=C(C)/Nc1c(c(=O)n(C)c(=O)n1C)C2c3ccc(C#N)cc3,"Dihydropyrido[2,3-d]pyrimidine",Active,Leishmania,Intracellular,,,,,,,,88,50 µg/ml,350.378,,C19H18N4O3,pyrimidine,,synthetic,"10.1021/cr400552x;
    10.1016/j.bmc.2005.07.043",703,
741,CC(=O)/C2=C(C)/Nc1c(c(=O)n(C)c(=O)n1C)C2c3ccc(C#N)cc3,"Dihydropyrido[2,3-d]pyrimidine",Active,Leishmania,Intracellular,,,,,,,,76,10 µg/ml,350.378,,C19H18N4O3,pyrimidine,,synthetic,"10.1021/cr400552x;
    10.1016/j.bmc.2005.07.043",703,
742,CC(=O)C1=C(C)Nc2c(C1c1ccc(cc1)[N+]([O-])=O)c(=O)n(C)c(=O)n2C ,"Dihydropyrido[2,3-d]pyrimidine",Active,Leishmania,Extracellular,,,,,,,,100,50 µg/ml,370.365,,C18H18N4O5,pyrimidine,,synthetic,"10.1021/cr400552x;
    10.1016/j.bmc.2005.07.043",704,
743,CC(=O)C1=C(C)Nc2c(C1c1ccc(cc1)[N+]([O-])=O)c(=O)n(C)c(=O)n2C ,"Dihydropyrido[2,3-d]pyrimidine",Active,Leishmania,Intracellular,,,,,,,,82,50 µg/ml,370.365,,C18H18N4O5,pyrimidine,,synthetic,"10.1021/cr400552x;
    10.1016/j.bmc.2005.07.043",704,
744,CC(=O)/C2=C(C)/Nc1c(c(=O)n(C)c(=O)n1C)C2c3ccc(C)cc3,"Dihydropyrido[2,3-d]pyrimidine",Active,Leishmania,Extracellular,,,,,,,,97,50 µg/ml,339.395,,C19H21N3O3,pyrimidine,,synthetic,"10.1021/cr400552x;
    10.1016/j.bmc.2005.07.043",705,
745,CC(=O)/C2=C(C)/Nc1c(c(=O)n(C)c(=O)n1C)C2c3ccc(C)cc3,"Dihydropyrido[2,3-d]pyrimidine",Active,Leishmania,Extracellular,,,,,,,,74,10 µg/ml,339.395,,C19H21N3O3,pyrimidine,,synthetic,"10.1021/cr400552x;
    10.1016/j.bmc.2005.07.043",705,
746,CC(=O)/C2=C(C)/Nc1c(c(=O)n(C)c(=O)n1C)C2c3ccc(C)cc3,"Dihydropyrido[2,3-d]pyrimidine",Active,Leishmania,Intracellular,,,,,,,,80,50 µg/ml,339.395,,C19H21N3O3,pyrimidine,,synthetic,"10.1021/cr400552x;
    10.1016/j.bmc.2005.07.043",705,
747,CC(=O)/C2=C(C)/Nc1c(c(=O)n(C)c(=O)n1C)C2c3ccc(C)cc3,"Dihydropyrido[2,3-d]pyrimidine",Active,Leishmania,Intracellular,,,,,,,,62,10 µg/ml,339.395,,C19H21N3O3,pyrimidine,,synthetic,"10.1021/cr400552x;
    10.1016/j.bmc.2005.07.043",705,
